term_id,canonical_english,english_variants,korean_phonetic,category,polarity_group,polarity_value,keep,ref_count_auto,notes
loop_diuretics,loop diuretics,,루프 다이오릭스|룩 다이오릭스|루프 다이오레릭스|루타이오레릭스|룹 다이오렉스,,,,1,9,
potassium,potassium,,포타슘,,,,1,13,
spironolactone,spironolactone,,스피로놀락톤|스피로놀 락톤|스피로노락톤,drug,,,1,6,
collecting_duct,collecting duct,,콜렉팅 덕트,,,,1,5,
furosemide,furosemide,,프로세마이드|플로세마이드|프로세마이드,drug,,,1,8,
hypercalcemia,hypercalcemia,,하이퍼칼세미아|하이퍼칼슘미아|하이퍼칼슘이야,electrolyte/acid-base,calcium_serum,high,1,5,
hyperkalemia,hyperkalemia,,하이퍼칼리미아|하이퍼칼레미아,electrolyte/acid-base,potassium_serum,high,1,3,
diuretics,diuretics,,다이유렉스|다이오레틱스|다이오렉스|다이오레릭스|다이레릭스|다이어렉스|다이예렉스,,,,1,20,
enac,ENaC,epithelial Na channel,이낙|이넥|인액|이맥,,,,1,6,
hypokalemia,hypokalemia,,하이포칼리미아|하이포칼레미아,electrolyte/acid-base,potassium_serum,low,1,6,
metabolic_alkalosis,metabolic alkalosis,,메타볼릭 알칼로시스|메타블리 알칼로시스,electrolyte/acid-base,acid_base,alkalosis,1,4,
nephron,nephron,,레프론|네프론|메프론,,,,1,4,
proximal_convoluted_tubule,proximal convoluted tubule,,프로치멀 건볼루티 튜블|프로스티머 컨볼루티 튜브|폭시멀 커뮬리티 튜브,,,,1,4,
reabsorption,reabsorption,,리옵솔션|리옵설선|리흡솔션|리흡설션,,,,1,5,
thiazide,thiazide,,사이아자이드|싸이아자이드|다이아자이드,,,,1,7,
aldosterone,Aldosterone,,알도스테론|알도스테롤,,,,1,4,
bicarbonate,bicarbonate,,바이칼보네이트|바이카보네이트,,,,1,3,
chloride,chloride,,클로라이드,,,,1,5,
congestive_heart_failure,congestive heart failure,,컨제스티브 하트 페일리어|컨지스티브 하트 페일리어|컨제스티브 허트 페일리어,,,,1,3,
distal_convoluted_tubule,distal convoluted tubule,,디지털 건볼루티 튜브|디스탈 컨볼루티 튜브|디스컨볼루티 튜브,,,,1,5,
hyperuricemia,hyperuricemia,,하이퍼유라이세미아,electrolyte/acid-base,,,1,3,
lumen,lumen,,루멘,,,,1,4,
nkcc,NKCC,,,,,,1,4,subsumes NKCC2 (NKCC matches NKCC2 via digit boundary)
side_effect,side effect,,,,,,0,4,
site,site,,,,,,0,5,
thiazide_diuretics,thiazide diuretics,,사이아자이드 다이오레릭스|싸이아자이드 다이오레릭스|사이아자이드 다이얼릭스,,,,1,3,
acetazolamide,acetazolamide,,아세타졸라마이드,drug,,,1,2,
acute_pulmonary_edema,Acute Pulmonary Edema,,어큐트 풀머널 이데마|아큐트 프루머너리 이데마|어큐트 풀머널리 데마,,,,1,2,
altitude_sickness,altitude sickness,,엘티티드 시그니스|엘티툴 시그니스|엘티틸 시그니스|엘티티드 시그니즈,,,,1,2,
amiloride,amiloride,,아밀리오라이드,drug,,,1,2,
ca_inhibitor,CA inhibitor,,,,,,0,2,merged into carbonic_anhydrase_inhibitor
carbonic_anhydrase_inhibitor,carbonic anhydrase inhibitor,CA inhibitor,카르보닉 아나이드레이즈 이니비터|카보닉 아날로이드 레이스 인이비터|카르보닉 아나이드레이즈 이니비터,,,,1,4,
cell,cell,,,,,,0,2,
cirrhosis_ascites,Cirrhosis ascites,,씨로시스 에사이티스|시루시스 에사이티스|시로시스 에사이티스|시로시스 아사이티스,,,,1,2,
eplerenone,eplerenone,,에필레프론|에필레피론,drug,,,1,2,
ethacrynic_acid,ethacrynic acid,,에타크리닉 애시드|에사클리닉 애씨드|에스타클린의 에시드,drug,,,1,2,
glaucoma,glaucoma,,글라오코마|글라우코마,,,,1,2,
glomerular_filtration_rate,Glomerular Filtration Rate,,글로멜로르 필트레이션 레이트|구멜로로 필트레이션 레이트|메듈러 필트레이션 레이트,,,,1,2,
gout,gout,,가오트|가우트,,,,1,2,
hydrochlorothiazide,Hydrochlorothiazide,,하이드로클로르 사이아자이드|하이드로클로로사이아자이드|하이드로클로르타이아자이드,drug,,,1,2,
hypercalciuria,hypercalciuria,,,electrolyte/acid-base,,,1,1,
hypertension,hypertension,,하이퍼텐션,electrolyte/acid-base,,,1,3,
hyponatremia,Hyponatremia,,하이포나트레미아|하이포나트리미아|하이퍼나트림이야,electrolyte/acid-base,sodium_serum,low,1,2,
iv_saline,IV saline,,아이비 셀라인|아이브이 셀라인,,,,1,2,
loop_of_henle,loop of henle,,루프 오프 헨리|루프 오브 핸리|루프 헨리,,,,1,3,
mortality_benefit,mortality benefit,,몰탈리티 베네피시|모탈리티 베네핏|몰탈리티 베네피시트,,,,1,2,
ncc,NCC,,,,,,1,2,
potassium_sparing_diuretics,potassium sparing diuretics,potassium-sparing diuretics|K+ sparing diuretics,포타슘 스페어링 다이오릭스|포타이션 스페어링 다이오릭스|포타슘 스페어링 다이레릭스,,,,1,4,
site_of_action,site of action,,,,,,0,2,
sulfa_allergy,sulfa allergy,,설파 알러지|설포 알러지,,,,1,2,
thick_ascending_limb,thick ascending limb,,히거 샌딩 림|핵 어센딩 림|리커센딩 림,,,,1,3,
ace_inhibitor,ACE inhibitor,,에이스인이비터|에이스 인이비터|에이시니비터,,,,1,1,
aldosterone_antagonist,aldosterone antagonist,,알도스테롤 안타고니스트|알도스테론 안타고니스트,,,,1,1,
anti-androgenic_effect,anti-androgenic effect,,안티 안드로제닉 이펙트|안티안드로제닉 이펙트,,,,1,1,
anti-androgenic_side_effect,anti-androgenic side effect,,,,,,1,1,
aqueous_humor,aqueous humor,,아쿠스 휴마|아쿠에스 휴마,,,,1,1,
arb,ARB,,아르브|얼브|아르부타,,,,1,1,
basolateral,basolateral,,,,,,0,1,
black_patient,black patient,,,,,,0,1,
bumetanide,bumetanide,,뷰메타나이드|뷰 메타나이드,drug,,,1,1,
calcium_oxalate,calcium oxalate,,칼슘 옥살레이트,,,,1,1,
carbonic_anhydrase,carbonic anhydrase,,카르보닉 아나이드레이즈|카보닉 아날로이드 레이스,,,,1,3,
chloride_cotransporter,chloride cotransporter,,클로라이드코 트랜스포터|클로라이드 코트렌스포터|클로라이드 코트랜스포터,,,,1,2,
chlorthalidone,Chlorthalidone,,클로르 살리돈|클로르 싸리돈,drug,,,1,1,
ckd_edema,CKD Edema,,ckd 이뇨제|ckd 이데마,,,,1,1,
countercurrent_multiplier,countercurrent multiplier,,카운터 커런트 멀티플라이어|카운터컬러 워티플라이어|카운터 컬러드 멀티플라이어,,,,1,1,
diabetes_insipidus,diabetes insipidus,,다이아베릭 인스피터스|다이아벳 인스피터스|다이아베리 인시피더스,,,,1,3,
diuresis,diuresis,,다이오레시스|다이레리스|다이오레이스,,,,1,1,
early_distal_convoluted_tubule,Early Distal convoluted tubule,,얼리디스컨볼루티 튜블|얼리 디스탈 컨볼루티 튜브리,,,,1,1,
elderly,elderly,,,,,,0,1,
enac_blocker,ENaC blocker,,이낙 블로커|이낙 블러커,,,,1,1,
epithelial_na_channel,epithelial Na channel,,,,,,0,1,merged into enac
fluid,fluid,,,,,,0,2,
gynecomastia,gynecomastia,,가이나코멘스티아|가이나코메스티아,,,,1,1,
hyperaldosteronism,Hyperaldosteronism,,하이퍼 알도스테롤니즘|하이퍼알도스테론리즘|하이퍼알데르스테롤리즘,electrolyte/acid-base,,,1,2,
hyperglycemia,hyperglycemia,,하이퍼글라이세미아,electrolyte/acid-base,,,1,1,
hyperlipidemia,hyperlipidemia,,하이퍼리피디미아|하이퍼 리피디미아,electrolyte/acid-base,,,1,1,
hypomagnesemia,hypomagnesemia,,하이포마그네시미아|하이포마그네심이야,electrolyte/acid-base,magnesium_serum,low,1,1,
hypocalcemia,hypocalcemia,,하이포칼세미아|하이포칼슘미아,electrolyte/acid-base,calcium_serum,low,1,2,
indapamide,Indapamide,,인다파마이드|인타파마이드,drug,,,1,1,
iv,IV,,,,,,0,5,
iv_furosemide,IV furosemide,,,drug,,,1,2,
kplus_sparing_diuretics,K+ sparing diuretics,,,,,,0,1,
kidney,kidney,,키드니|히데니|히드니,,,,1,1,
late_distal_convoluted_tubule,late distal convoluted tubule,,레이트 디스탈 컴포넌티 튜블|레이트 디지털 컨볼루티 튜브,,,,1,1,
libido,libido,,리비도|리비드,,,,1,1,
lithium_induced_nephrogenic_diabetes_insipidus,lithium induced nephrogenic Diabetes insipidus,,,drug,,,1,1,
loss,loss,,,,,,0,1,
medulla,medulla,,메듈라|메딜라|메듈러,,,,1,1,
medullary_interstitium,medullary interstitium,,메듈러리 인터스티움|메딜럴 인터스티슘|메듈러리 인터스티심,,,,1,1,
metabolic_acidosis,metabolic acidosis,,메타볼릭 아시도시스|메타볼릭 에시도시스,electrolyte/acid-base,acid_base,acidosis,1,1,
metolazone,Metolazone,,메톨라존|에톨라존,drug,,,1,1,
mild_edema,mild edema,,마일드 이데마|마일드이데마,,,,1,1,
mineralocorticoid_receptor,mineralocorticoid receptor,,미네랄로 콜티코이드 리셉터|미네랄드 콜티크 오일 리셉터|미네랄로 콜티코이드 리세터,,,,1,1,
na-h_exchanger,Na/H exchanger,,나트륨 펄톤 익체인저|나트륨 폴톤 익체인저|나트륨 프로톤 익스체인저,,,,1,1,
ncx,NCX,,,,,,1,1,
nephrogenic_diabetes_insipidus,nephrogenic diabetes insipidus,,네프로제닉 다이아베릭 인스피터스|네프로제닉 다이아벳 인스피터스,,,,1,2,
nephrotic_syndrome,Nephrotic Syndrome,,네프로틱신드롬|네프로틱 신드롬,,,,1,1,
nkcc2,NKCC2,,,,,,0,1,merged into nkcc (NKCC subsumes NKCC2)
osmotic_gradient,osmotic gradient,,오스모틱 그래디언트|오스모틱 그레디언트,,,,1,1,
ototoxicity,ototoxicity,,오토톡시디|오토톡시티,,,,1,1,
paracellular,paracellular,,파라셀룰러|파라셀률,,,,1,1,
positive_charge,positive charge,,,,,,0,1,
potassium-sparing_diuretics,potassium-sparing diuretics,,,,,,0,1,
potency,potency,,,,,,0,1,
primary_hyperaldosteronism,primary hyperaldosteronism,,프라이머리 하이퍼 알도스테롤니즘|프라이머리 하이퍼알도스테론리즘,,,,1,1,
proton,proton,,프로톤|펄톤,,,,1,1,
recycling,recycling,,,,,,0,1,
removal,removal,,,,,,0,1,
resistant_hypertension,Resistant hypertension,,리지스턴트 하이퍼텐션,,,,1,1,
segment,segment,,,,,,0,1,
selective,selective,,,,,,0,1,
sodium-potassium_atpase,sodium-potassium ATPase,,나트륨 포타슘 에이티페이스,,,,1,1,
sulfa,sulfa,,,,,,1,3,
sulfonamide_allergy,sulfonamide allergy,,설포나마이드 알러지,,,,1,1,
thick_ascending_limb_of_loop_of_henle,thick ascending limb of loop of henle,,,,,,0,1,
torsemide,torsemide,,토르세마이드|톨세마이드,drug,,,1,1,
triamterene,triamterene,,트라이언트레인|트라이엄트레인,drug,,,1,1,
tubular_flow,tubular flow,,튜블러플로우|튜빌러 플로우|튜브럴 플로우,,,,1,1,
tubular_lumen,tubular lumen,,튜블러 루멘,,,,1,1,
uric_acid,Uric Acid,,유릭애씨드|유린애씨드|유링애씨드|유린에시드,,,,1,1,
urine,urine,,,,,,1,1,
venodilation,venodilation,,비노다이레이션|비누 다이레이션,,,,1,1,
volume,volume,,,,,,0,1,
water_reabsorption,water reabsorption,,워터 리옵솔션|보타 리흡솔션,,,,1,1,
