claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters
ant_sr01,오늘 이야기할 주제는 anthrax 한국어로 탄저균에 대해서 이야기를 해보도록 하겠습니다.,오늘 이야기할 주제는 탄저균에 대해서 이야기해보도록 하겠습니다.,Faithful ,,
ant_sr02,"그래서 먼저 탄저균의 overview, 탄저균이 어떤 균인지 먼저 알아본 뒤에 그 다음에 여러가지 탄저균의 특징적인 plasmid 그리고 탄저균의 types of anthrax 그리고 얘들을 이용한 clinical manifestations 이런 것들을 알아보고 마지막으로 추가적으로 좀 더 알아보아야 할 탄저균의 치료법 그리고 진단법 이런 것들에 대해서 알아보도록 하겠습니다.",오늘 이야기할 주제는 탄저균에 대해서 이야기해보도록 하겠습니다. 먼저 탄저균의 개요부터 알아보겠습니다.,Omission ,개요 부분에서 학습 내용을 미리 소개하는 문장들이 모두 누락되었습니다.,
ant_sr03,자 먼저 탄저균의 scientific name 우리가 이 학명으로는 Bacillus anthracis라고 부르게 됩니다.,먼저 탄저균의 개요부터 알아보겠습니다. 탄저균은 Bacillus anthracis라는 과학적 명칭으로 알려져 있습니다.,Faithful ,,
ant_sr04,기본적인 형태는 gram 양성균 즉 gram positive구요.,"이 균은 gram 양성균으로, 막대 모양을 가지고 있습니다.",Faithful ,,
ant_sr05,형태는 이제 rod-shaped 그러니까 이 막대기 모양이라고 하죠.,"클리니컬에서 가장 유명한 형태는 Cutaneous Anthrax이며, 대부분 피부를 통해 균이 침입합니다. -> ""이 균은 gram 양성균으로, 막대 모양을 가지고 있습니다.""",Faithful ,,
ant_sr06,이 막대기 모양의 세균이다 라고 이야기를 할 수 있겠습니다.,"그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다. … 먼저 pXO1이라고 불리는 플라스미드는 exotoxin을 담당합니다. -> ""이 균은 gram 양성균으로, 막대 모양을 가지고 있습니다.""",Faithful ,,
ant_sr07,산소 여부 그러니까 산소가 필요한지 아닌지에 따라서는 obligate aerobe라고 표현하고 특징적으로는 이제 포자를 형성을 하는 그런 organism이다 라고 이야기를 할 수 있겠습니다.,"산소를 필요로 하는 obligate aerobic 균으로, 포자를 형성하는 특징을 가지고 있습니다.",Faithful ,,
ant_sr08,그러니까 spore를 만드는 그러한 균이다 라고 이야기를 할 수 있겠구요.,"또한 환경적으로 굉장히 안정하며, dormant spore 상태에서 수십 년간 생존할 수 있어서 오랫동안 존속할 수 있는 균으로 알려져 있습니다. … 그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다.",Faithful ,,
ant_sr09,또한 이 환경적으로도 굉장히 안정적인데 이 휴면 상태에 놓여있는 dormant spore 그러니까 dormant spore는 이제 이 땅 속에서 몇십년간 살아남을 수 있기 때문에 탄저균이 오래간다 라고 이야기를 할 수 있겠습니다.,"또한 환경적으로 굉장히 안정하며, dormant spore 상태에서 수십 년간 생존할 수 있어서 오랫동안 존속할 수 있는 균으로 알려져 있습니다. … 그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다.",Faithful ,,
ant_sr10,그래서 오래가는 만큼 이 Koch의 연구에서 가장 집중적으로 파헤쳐졌던 그러한 박테리아이기도 하구요.,"그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다.",Omission ,Koch의 가설(Koch's postulates)에 대한 언급이 누락되었습니다.,
ant_sr11,그리고 이 public health 그러니까 공공의료 관점에서도 역시 이러한 특징 때문에 bioterror에서도 가장 잘 쓰이는 균이다 라고 할 수 있겠습니다.,"산소를 필요로 하는 obligate aerobic 균으로, 포자를 형성하는 특징을 가지고 있습니다. … 이러한 특성으로 탄저균은 많은 연구의 대상이 되었고, 중요한 박테리아 중 하나로 인식되고 있습니다. 그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다. … 먼저 pXO1이라고 불리는 플라스미드는 exotoxin을 담당합니다.",Faithful ,,
ant_sr12,좀 더 본격적인 얘기로 들어가서 이 탄저균의 plasmid에 대해서 이야기를 할 건데요.,좀 더 구체적으로 말씀드리자면 이 탄저균의 플라스미드에 대해 이야기해보겠습니다.,Faithful ,,
ant_sr13,먼저 첫 번째가 이제 pXO1 즉 exotoxin을 담당하는 plasmid다 라고 할 수 있겠습니다.,"그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다. … 먼저 pXO1이라고 불리는 플라스미드는 exotoxin을 담당합니다. 대부분의 병원균적인 역할을 하는 pXO1 플라스미드는 세 가지 부분으로 구성되어 있습니다. … 이 세 가지 요소가 결합하여 exotoxin을 생성한다고 볼 수 있습니다.",Faithful ,,
ant_sr14,그래서 대부분의 pathogenesis 그러니까 병리학적인 그러한 역할을 담당하는 게 이 pXO1 plasmid 쪽이구요.,먼저 pXO1이라고 불리는 플라스미드는 exotoxin을 담당합니다. 대부분의 병원균적인 역할을 하는 pXO1 플라스미드는 세 가지 부분으로 구성되어 있습니다.,Faithful ,,
ant_sr15,이거는 이제 3개의 파트 3개의 factor로 이루어져 있는데 첫 번째가 protective antigen 두 번째가 edema factor 세 번째가 lethal factor가 되겠습니다.,"첫 번째는 보호항원(Protective Antigen), 두 번째는 edema factor, 세 번째는 lethal factor입니다.",Faithful ,,
ant_sr16,그래서 이 3개의 요소들이 합쳐져 가지고 exotoxin을 담당한다 라고 이야기할 수 있겠구요.,먼저 pXO1이라고 불리는 플라스미드는 exotoxin을 담당합니다. … 이 세 가지 요소가 결합하여 exotoxin을 생성한다고 볼 수 있습니다.,Faithful ,,
ant_sr17,이러한 plasmid가 없어지면은 병원성이 없어집니다.,이러한 플라스미드가 없어지면 병원성이 사라진다는 것이죠. … 그래서 보호항원이라는 이름이 붙은 이유는 이러한 보호항원이 백신을 접종받은 동물들에게 보호 면역을 보여주기 때문입니다.,Faithful ,,
ant_sr18,그래서 얘들을 없애면은 병원성이 없어진다 라는 거고 각각에 대해서 알아보자면은 먼저 protective antigen 같은 경우에는 host cell receptor에 결합을 합니다.,"첫 번째는 보호항원(Protective Antigen), 두 번째는 edema factor, 세 번째는 lethal factor입니다. … 이러한 플라스미드가 없어지면 병원성이 사라진다는 것이죠.",Faithful ,,
ant_sr19,그래서 이 숙주세포의 수용체에 결합을 해서 나머지 edema factor라던가 아니면 lethal factor가 들어가서 핵심적인 채널을 만드는 게 주요 목표입니다.,"첫 번째는 보호항원(Protective Antigen), 두 번째는 edema factor, 세 번째는 lethal factor입니다. … 각각의 기능에 대해 자세히 살펴보면, 먼저 보호항원은 숙주세포 수용체에 결합하여 숙주세포의 수형체에 결합하고, 나머지 edema factor나 lethal factor가 들어갈 수 있는 채널을 형성하는 주된 역할을 합니다. … Adenine Factor, 즉 부정을 유발하는 Adenine Factor는 이제 calmodulin dependent adenyl cyclase를 중요하게 활용합니다.",Faithful ,,
ant_sr20,그래서 protective라고 이름을 붙이는 이유는 얘들이 vaccinated animals 즉 백신을 맞은 동물들한테는 이러한 protective immunity를 보이기 때문에 protective antigen이라고 부르게 되었습니다.,"그리고 이 공중보건, 즉 공공의료 관점에서도 역시 이러한 특징 때문에 바이오테러에 가장 잘 활용되는 균이라고 할 수 있습니다. … 첫 번째는 보호항원(Protective Antigen), 두 번째는 edema factor, 세 번째는 lethal factor입니다. … 이러한 플라스미드가 없어지면 병원성이 사라진다는 것이죠. -> ""그래서 보호항원이라는 이름이 붙은 이유는 이러한 보호항원이 백신을 접종받은 동물들에게 보호 면역을 보여주기 때문입니다.""",Faithful ,,
ant_sr21,"Edema factor, 그러니까 부종을 만들어내는 Edema factor 같은 경우에는 이제 Calmodulin-dependent adenylyl Cyclase를 주요하게 이용하고요.","첫 번째는 보호항원(Protective Antigen), 두 번째는 edema factor, 세 번째는 lethal factor입니다. … 각각의 기능에 대해 자세히 살펴보면, 먼저 보호항원은 숙주세포 수용체에 결합하여 숙주세포의 수형체에 결합하고, 나머지 edema factor나 lethal factor가 들어갈 수 있는 채널을 형성하는 주된 역할을 합니다. … Adenine Factor, 즉 부정을 유발하는 Adenine Factor는 이제 calmodulin dependent adenyl cyclase를 중요하게 활용합니다.",Substitution,"""Adenine Factor, 부정""이라는 존재하지 않는 표현을 사용하였습니다.",
ant_sr22,그리고 이제 부종을 만드는 이름처럼 이제 Fluid Accumulation 또는 Tissue Edema를 일으키게 됩니다.,이로 인해 fluid accumulation이나 tissue adenoma와 같은 부정적인 영향을 미치게 됩니다.,Substitution,"adenoma와 관련된, 문맥과 무관한 내용을 서술하였습니다.",
ant_sr23,그래서 이걸 통해서 Immune Cell의 function을 고장나게 하거나 아니면 Chemotaxis를 일어나게 해서 여러가지 면역 억제를 또 일으키기도 합니다.,"그래서 보호항원이라는 이름이 붙은 이유는 이러한 보호항원이 백신을 접종받은 동물들에게 보호 면역을 보여주기 때문입니다. … 이를 통해 면역세포의 기능을 손상시키거나 chemotaxis를 유발하여 면역 억제를 일으키기도 합니다. Lethal Factor의 경우 zinc dependent metalloprotease를 통해 세포 내에서 macrophage injury, apoptosis 및 cell death를 유도합니다.",Faithful ,,"speaker's own content slip (says chemotaxis is induced; should be disrupted — see data/anthrax_01/speaker_errata.md ERR-01). AI faithfully reproduces the spoken wording and even restores 'chemotaxis' to English. Fidelity, not a system error; do not score AI wrong here"
ant_sr24,Lethal Factor 같은 경우에는 Zinc Dependent Metalloprotease 로 이제 이 세포 안에서 Macrophage Injury 라던가 Apoptosis 그리고 Cell Death 를 유도하게 됩니다.,"Adenine Factor, 즉 부정을 유발하는 Adenine Factor는 이제 calmodulin dependent adenyl cyclase를 중요하게 활용합니다. 이로 인해 fluid accumulation이나 tissue adenoma와 같은 부정적인 영향을 미치게 됩니다. … 이를 통해 면역세포의 기능을 손상시키거나 chemotaxis를 유발하여 면역 억제를 일으키기도 합니다. Lethal Factor의 경우 zinc dependent metalloprotease를 통해 세포 내에서 macrophage injury, apoptosis 및 cell death를 유도합니다. 그래서 Lethal Factor라는 이름이 붙게 된 것입니다.",Faithful ,,
ant_sr25,그래서 이름이 Lethal Factor 라고 붙게 되었습니다.,"Lethal Factor의 경우 zinc dependent metalloprotease를 통해 세포 내에서 macrophage injury, apoptosis 및 cell death를 유도합니다. 그래서 Lethal Factor라는 이름이 붙게 된 것입니다.",Faithful ,,
ant_sr26,이제 pXO1 말고도 pXO2 가 있는데 얘는 capsule을 담당하는 plasmid입니다.,"PXO-1 이외에도 PXO-2가 있는데, 이는 캡슐을 담당하는 플라스미드입니다. 이 캡슐은 polyglutamic acid capsule로 이루어져 있으며, 이를 통해 탄저균이 phagocytosis를 피해 면역 반응을 억제합니다. 따라서 PXO-2를 제거하면 당연히 병원성이 감소한다고 말할 수 있습니다.",Faithful ,,
ant_sr27,그래서 이 캡슐은 polyglutamate capsule로 이루어져 있고 이러한 캡슐은 이제 탄저균이 Phagocytosis 를 당해서 이제 Immune Recognition을 당하는 것을 억제를 하게 됩니다.,"PXO-1 이외에도 PXO-2가 있는데, 이는 캡슐을 담당하는 플라스미드입니다. 이 캡슐은 polyglutamic acid capsule로 이루어져 있으며, 이를 통해 탄저균이 phagocytosis를 피해 면역 반응을 억제합니다.",Faithful ,,
ant_sr28,그래서 얘를 이제 pXO2를 Knockout시키면 당연하게도 또 병원성이 낮아진다 라고 이야기를 할 수 있겠죠.,"PXO-1 이외에도 PXO-2가 있는데, 이는 캡슐을 담당하는 플라스미드입니다. … 따라서 PXO-2를 제거하면 당연히 병원성이 감소한다고 말할 수 있습니다.",Faithful ,,
ant_sr29,자 그리고 이제 Anthrax 탄저균의 종류들을 볼 건데요.,"마지막으로 anthrax 탄저균의 동료들을 살펴볼 것인데, 대표적으로 세 가지가 있습니다. 첫 번째는 Cutaneous Anthrax, 두 번째는 Inhalation Anthrax 그리고 마지막으로는 Gastrointestinal Anthrax으로 나누어집니다. 클리니컬에서 가장 유명한 형태는 Cutaneous Anthrax이며, 대부분 피부를 통해 균이 침입합니다.",Minor rewrite,,"'종류'를 '동료'로 잘못 기재하였으나, 문맥상 충분히 이해할 수 있습니다."
ant_sr30,대표적으로 세가지가 있습니다.,"마지막으로 anthrax 탄저균의 동료들을 살펴볼 것인데, 대표적으로 세 가지가 있습니다.",Faithful ,,
ant_sr31,첫번째는 Cutaneous Anthrax 두번째는 Inhalation Anthrax 그리고 마지막으로는 Gastrointestinal Anthrax 이렇게 세개로 나눠지게 됩니다.,"마지막으로 anthrax 탄저균의 동료들을 살펴볼 것인데, 대표적으로 세 가지가 있습니다. 첫 번째는 Cutaneous Anthrax, 두 번째는 Inhalation Anthrax 그리고 마지막으로는 Gastrointestinal Anthrax으로 나누어집니다. 클리니컬에서 가장 유명한 형태는 Cutaneous Anthrax이며, 대부분 피부를 통해 균이 침입합니다.",Faithful ,,
ant_sr32,Clinical에서 가장 유명한 form은 Cutaneous Anthrax 이구요.,"마지막으로 anthrax 탄저균의 동료들을 살펴볼 것인데, 대표적으로 세 가지가 있습니다. 첫 번째는 Cutaneous Anthrax, 두 번째는 Inhalation Anthrax 그리고 마지막으로는 Gastrointestinal Anthrax으로 나누어집니다. 클리니컬에서 가장 유명한 형태는 Cutaneous Anthrax이며, 대부분 피부를 통해 균이 침입합니다. 이로 인해 다양한 장소에서 발생할 수 있습니다.",Faithful ,,
ant_sr33,대부분 이 피부를 통해서 이제 이 균이 침입을 하게 됩니다.,"클리니컬에서 가장 유명한 형태는 Cutaneous Anthrax이며, 대부분 피부를 통해 균이 침입합니다.",Faithful ,,
ant_sr34,그래서 뭐 되게 다양한 곳에서 이제 일어나요.,이로 인해 다양한 장소에서 발생할 수 있습니다.,Faithful ,,
ant_sr35,그러니까 뭐 농사를 지을 때도 일어날 수 있고 또는 Butchery 또는 가죽작업 leatherwork 할 때도 일어날 수가 있습니다.,"농사를 질 때, 부산물을 처리할 때, 또는 가죽 작업을 할 때 발생할 수 있습니다.",Faithful ,,
ant_sr36,그래서 이 전파 같은 경우에는 Infected Animal 그러니까 감염된 동물들끼리 또는 이 동물의 부산물을 접촉했을 때 이제 일어나구요.,"농사를 질 때, 부산물을 처리할 때, 또는 가죽 작업을 할 때 발생할 수 있습니다. 이러한 경우에는 감염된 동물이나 동물의 부산물과 접촉할 때 발생합니다.",Faithful ,,
ant_sr37,이 Mortality 사망률 자체는 많이 낮습니다.,"사망률은 낮지만, 적절한 치료를 받지 않으면 20%까지 상승할 수 있습니다. … 이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다.",Faithful ,,
ant_sr38,그래서 치료를 잘 하면은 사망률 자체는 많이 낮은데 치료를 안 한다고 하면은 이제 Mortality 가 20% 까지 상승한다 라고 이야기할 수 있겠습니다.,"사망률은 낮지만, 적절한 치료를 받지 않으면 20%까지 상승할 수 있습니다. … 이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다.",Faithful ,,"""이 형태의 사망률은 치료를 받지 않을 경우 90%에서 95%까지 높습니다."" 해당 내용은 pulmonary 설명 부분에서 기인한 내용이므로 Addition 오류가 아닙니다."
ant_sr39,Inhalation Anthrax 같은 경우에는 가장 흔하지 않은 가장 희귀한 폼이긴 하지만은 가장 심각한 증상을 일으킵니다.,"클리니컬에서 가장 유명한 형태는 Cutaneous Anthrax이며, 대부분 피부를 통해 균이 침입합니다. … 이러한 경우에는 감염된 동물이나 동물의 부산물과 접촉할 때 발생합니다. … Inhalation Anthrax는 가장 흔하지 않지만 가장 심각한 증상을 일으키는 형태입니다.",Faithful ,,
ant_sr40,그래서 이 어떻게 이제 감염이 일어났냐 라고 하면은 이제 spore가 이 공기 중에 떠돌아다니는 Aerosol-like spore를 이제 흡입하게 되면은 일어나게 되구요.,"스포어가 공기 중에 떠다니는 aerosol 형태로 흡입되면 발생하며, 양털 작업이나 양털 농장에서 노출될 수 있습니다.",Faithful ,,
ant_sr41,그래서 이제 양털 작업을 한다거나 아니면은 이렇게 양털 농장에서 일을 하시는 분들이 이제 주로 노출이 되게 됩니다.,"스포어가 공기 중에 떠다니는 aerosol 형태로 흡입되면 발생하며, 양털 작업이나 양털 농장에서 노출될 수 있습니다.",Faithful ,,
ant_sr42,또는 이제 bioterror에서도 역시 이 spore를 이용해서 일어날 수 있겠구요.,"스포어가 공기 중에 떠다니는 aerosol 형태로 흡입되면 발생하며, 양털 작업이나 양털 농장에서 노출될 수 있습니다. 또한 바이오테러 공격에도 사용될 수 있습니다.",Faithful ,,
