claim_id,reference_claim,gpt4o_ailn_post_output,label,error_type,why_it_matters,review_note
ant_sr01,﻿네 오늘은 항암제에 대해서 다뤄보도록 하겠습니다.,"오늘은 항암제에 대해 다뤄보도록 하겠습니다. 항암제의 중요한 목표는 항암제가 어떤 대상을 타겟으로 하는지, 항암제의 메커니즘은 무엇인지, 그리고 임상적으로 어떻게 활용되는지 알아보도록 하겠습니다.",Faithful,,,
ant_sr02,항암제의 중요한 목표는 이제 항암제가 무엇을 target으로 하는지 항암제가 무엇을 target으로 하는지 항암제의 메커니즘은 무엇인지 그리고 임상적으로 어떻게 쓰이는지 이런 것들을 저희가 알아보도록 하겠습니다.,"오늘은 항암제에 대해 다뤄보도록 하겠습니다. 항암제의 중요한 목표는 항암제가 어떤 대상을 타겟으로 하는지, 항암제의 메커니즘은 무엇인지, 그리고 임상적으로 어떻게 활용되는지 알아보도록 하겠습니다. 항암제의 주요 종류는 cytotoxic chemotherapy, targeted therapy, hormone therapy, 그리고 면역항암요법으로 나눌 수 있습니다. 이러한 항암제들은 주로 DNA, 효소, 수용체, 면역 체크포인트 등을 타겟으로 합니다.",Faithful,,,
ant_sr03,"먼저 항암제의 큰 종류는 이 cytotoxic chemotherapy, targeted therapy, hormonal therapy 그리고 immunotherapy로 나눌 수가 있겠습니다.","항암제의 중요한 목표는 항암제가 어떤 대상을 타겟으로 하는지, 항암제의 메커니즘은 무엇인지, 그리고 임상적으로 어떻게 활용되는지 알아보도록 하겠습니다. 항암제의 주요 종류는 cytotoxic chemotherapy, targeted therapy, hormone therapy, 그리고 면역항암요법으로 나눌 수 있습니다. … 먼저 cytotoxic chemotherapy는 rapidly 분열하는 세포를 표적으로 삼아 세포를 파괴하는 항암제입니다.",Faithful,,,
ant_sr04,여기서 중요한 콘셉트는 바로 이 항암제들의 타겟이 DNA라든가 enzyme이라든가 receptor이라든가 immune checkpoint가 되겠습니다.,"항암제의 중요한 목표는 항암제가 어떤 대상을 타겟으로 하는지, 항암제의 메커니즘은 무엇인지, 그리고 임상적으로 어떻게 활용되는지 알아보도록 하겠습니다. … 이러한 항암제들은 주로 DNA, 효소, 수용체, 면역 체크포인트 등을 타겟으로 합니다. … 이러한 항암제들은 DNA 합성이나 DNA 복제, mitosis 방해 등을 통해 작용합니다.",Faithful,,,
ant_sr05,그래서 이 각각에 대해서 저희가 좀 더 자세히 다뤄보도록 하겠습니다.,"항암제의 중요한 목표는 항암제가 어떤 대상을 타겟으로 하는지, 항암제의 메커니즘은 무엇인지, 그리고 임상적으로 어떻게 활용되는지 알아보도록 하겠습니다. … 각각에 대해 좀 더 자세히 살펴보겠습니다.",Faithful,,,
ant_sr06,먼저 cytotoxic chemotherapy 같은 경우에는 이 항암제 중에서 rapid dividing cell를 죽이는 그러한 종류의 항암제다라고 볼 수 있겠습니다.,"항암제의 주요 종류는 cytotoxic chemotherapy, targeted therapy, hormone therapy, 그리고 면역항암요법으로 나눌 수 있습니다. 이러한 항암제들은 주로 DNA, 효소, 수용체, 면역 체크포인트 등을 타겟으로 합니다. … 먼저 cytotoxic chemotherapy는 rapidly 분열하는 세포를 표적으로 삼아 세포를 파괴하는 항암제입니다. 이러한 항암제들은 DNA 합성이나 DNA 복제, mitosis 방해 등을 통해 작용합니다.",Faithful,,,
ant_sr07,그래서 얘들의 메인 타깃은 DNA 합성이라든가 DNA 복제 또는 mitotic spindle이 되겠습니다.,"이러한 항암제들은 주로 DNA, 효소, 수용체, 면역 체크포인트 등을 타겟으로 합니다. … 이러한 항암제들은 DNA 합성이나 DNA 복제, mitosis 방해 등을 통해 작용합니다. antimetabolites나 alkylating agents, antitumor antibiotics, mitotic inhibitors 등이 이에 속합니다. … antimetabolites는 DNA 합성을 방해하여 세포의 S-Phase 진행을 억제하며, DNA 손상을 유발합니다.",Faithful,,,"mitotic spindle을 mitosis 방해로 표기하였으나, 의미상 적절하며 원본을 충분히 반영하였습니다."
ant_sr08,"예를 자세하게 좀 더 나누면 antimetabolite 또는 alkylating agents, antitumor antibiotics 또는 microtubule inhibitors 같은 것들이 있겠습니다.","antimetabolites나 alkylating agents, antitumor antibiotics, mitotic inhibitors 등이 이에 속합니다. … antimetabolites는 DNA 합성을 방해하여 세포의 S-Phase 진행을 억제하며, DNA 손상을 유발합니다.",Faithful,,,
ant_sr09,그래서 얘들은 기본적으로 이 급격하게 분열하는 세포를 모두 이 무분별하게 죽이기 때문에 toxicity가 일반적으로 이제 분열하는 이 정상 조직에도 가질 수가 있다라는 것이 하나의 특징점이 되겠습니다.,"먼저 cytotoxic chemotherapy는 rapidly 분열하는 세포를 표적으로 삼아 세포를 파괴하는 항암제입니다. … 이러한 항암제들은 주로 급격히 분열하는 암세포를 표적으로 하지만, 정상 세포에도 영향을 줄 수 있습니다.",Omission,분열하는 세포를 무분별하게 파괴하기 때문이라는 핵심 독성 기전이 누락되었습니다.,,
ant_sr10,antimetabolite 같은 경우에는 DNA 합성 쪽에 관여를 하고요.,"antimetabolites나 alkylating agents, antitumor antibiotics, mitotic inhibitors 등이 이에 속합니다. … antimetabolites는 DNA 합성을 방해하여 세포의 S-Phase 진행을 억제하며, DNA 손상을 유발합니다. 이러한 항암제의 대표적인 예시로는 DNA 손상을 유발하는 alkylating agents가 있습니다. … 예를 들어, alkylating agents는 DNA에 직접 작용하여 DNA cross-links를 형성하여 DNA 복제를 막는 특성을 가지고 있습니다.",Faithful,,,
ant_sr11,그래서 nucleotide 합성이라든가 nucleotide 통합 이쪽에 간섭을 하게 됩니다.,(anchor not found - likely omitted/paraphrased; check manually),Omission,nucleotide와 관련된 구체적인 기전 설명이 누락되었습니다.,,
