lecture_id,condition,chunk_id,time_range,english_count,phonetic_count,english_rate,dominant_mode,condition_label
acuteinflammation_02,gpt4o,0,00:00-03:00,67,4,0.9437,English-preserving,raw gpt-4o-transcribe
acuteinflammation_02,gpt4o,1,03:00-06:00,5,67,0.0694,Korean-phonetic,raw gpt-4o-transcribe
acuteinflammation_02,gpt4o,2,06:00-09:00,8,41,0.1633,Korean-phonetic,raw gpt-4o-transcribe
acuteinflammation_02,gpt4o,3,09:00-12:00,12,54,0.1818,Korean-phonetic,raw gpt-4o-transcribe
acuteinflammation_02,gpt4o,4,12:00-15:00,10,14,0.4167,mixed,raw gpt-4o-transcribe
acuteinflammation_02,gpt4o_prompted,0,00:00-03:00,18,14,0.5625,mixed,prompted gpt-4o-transcribe
acuteinflammation_02,gpt4o_prompted,1,03:00-06:00,8,55,0.127,Korean-phonetic,prompted gpt-4o-transcribe
acuteinflammation_02,gpt4o_prompted,2,06:00-09:00,8,39,0.1702,Korean-phonetic,prompted gpt-4o-transcribe
acuteinflammation_02,gpt4o_prompted,3,09:00-12:00,10,49,0.1695,Korean-phonetic,prompted gpt-4o-transcribe
acuteinflammation_02,gpt4o_prompted,4,12:00-15:00,3,16,0.1579,Korean-phonetic,prompted gpt-4o-transcribe
anthrax_01,gpt4o,0,00:00-03:00,2,27,0.069,Korean-phonetic,raw gpt-4o-transcribe
anthrax_01,gpt4o,1,03:00-06:00,3,40,0.0698,Korean-phonetic,raw gpt-4o-transcribe
anthrax_01,gpt4o,2,06:00-09:00,5,28,0.1515,Korean-phonetic,raw gpt-4o-transcribe
anthrax_01,gpt4o,3,09:00-12:00,6,30,0.1667,Korean-phonetic,raw gpt-4o-transcribe
anthrax_01,gpt4o,4,12:00-15:00,0,0,,no-term,raw gpt-4o-transcribe
anthrax_01,gpt4o_prompted,0,00:00-03:00,17,4,0.8095,English-preserving,prompted gpt-4o-transcribe
anthrax_01,gpt4o_prompted,1,03:00-06:00,12,31,0.2791,mixed,prompted gpt-4o-transcribe
anthrax_01,gpt4o_prompted,2,06:00-09:00,0,30,0.0,Korean-phonetic,prompted gpt-4o-transcribe
anthrax_01,gpt4o_prompted,3,09:00-12:00,6,32,0.1579,Korean-phonetic,prompted gpt-4o-transcribe
anthrax_01,gpt4o_prompted,4,12:00-15:00,0,0,,no-term,prompted gpt-4o-transcribe
anticancerdrugs_02,gpt4o,0,00:00-03:00,21,35,0.375,mixed,raw gpt-4o-transcribe
anticancerdrugs_02,gpt4o,1,03:00-06:00,27,1,0.9643,English-preserving,raw gpt-4o-transcribe
anticancerdrugs_02,gpt4o_prompted,0,00:00-03:00,22,32,0.4074,mixed,prompted gpt-4o-transcribe
anticancerdrugs_02,gpt4o_prompted,1,03:00-06:00,7,21,0.25,mixed,prompted gpt-4o-transcribe
diuretics_01,gpt4o,0,00:00-03:00,0,38,0.0,Korean-phonetic,raw gpt-4o-transcribe
diuretics_01,gpt4o,1,03:00-06:00,14,35,0.2857,mixed,raw gpt-4o-transcribe
diuretics_01,gpt4o,2,06:00-09:00,3,46,0.0612,Korean-phonetic,raw gpt-4o-transcribe
diuretics_01,gpt4o,3,09:00-12:00,0,41,0.0,Korean-phonetic,raw gpt-4o-transcribe
diuretics_01,gpt4o,4,12:00-15:00,0,23,0.0,Korean-phonetic,raw gpt-4o-transcribe
diuretics_01,gpt4o_prompted,0,00:00-03:00,25,5,0.8333,English-preserving,prompted gpt-4o-transcribe
diuretics_01,gpt4o_prompted,1,03:00-06:00,0,1,0.0,Korean-phonetic,prompted gpt-4o-transcribe
diuretics_01,gpt4o_prompted,2,06:00-09:00,4,49,0.0755,Korean-phonetic,prompted gpt-4o-transcribe
diuretics_01,gpt4o_prompted,3,09:00-12:00,18,24,0.4286,mixed,prompted gpt-4o-transcribe
diuretics_01,gpt4o_prompted,4,12:00-15:00,0,47,0.0,Korean-phonetic,prompted gpt-4o-transcribe
diuretics_01,gpt4o_prompted,5,15:00-18:00,0,25,0.0,Korean-phonetic,prompted gpt-4o-transcribe
