term_id,canonical_english,english_variants,korean_phonetic,category,polarity_group,polarity_value,keep,ref_count_auto,notes
dna,DNA,,,,,,1,8,
cytotoxic_chemotherapy,cytotoxic chemotherapy,,사이토턱색 케모테라피|사이트 턱스 케모 세라피|사이토톡식 케모테라피|사이토터스 캠퍼스 테라피,,,,1,3,
hormonal_therapy,hormonal therapy,hormone therapy,호르모노 테라피|호르몬 치료약,,,,1,3,
immunotherapy,immunotherapy,immune therapy,이뮤니터 테라피|이뮤노 테라피|이뮤니션 세라피,,,,1,3,
targeted_therapy,targeted therapy,,타겟 테라피|타겟의 테라피,,,,1,3,
alkylating_agents,alkylating agents,,알퀼레이팅 에이전트|알킬레이팅 에이전트|알킬레이팅 에이전,,,,1,2,
antimetabolite,antimetabolite,,엔타이 메타볼라이트,,,,1,2,
microtubule_inhibitors,microtubule inhibitors,,마이크로트로블 애니비터스|마이크로트로블 애니비터|마이크로트로블 에네비터스|마이크로트로블 에네비터,,,,1,2,
mitotic_spindle,mitotic spindle,,마이터텍스 팬더|마이터텍스 펜더업|마이터텍스 펜덜,,,,1,2,whisper Latin misread: Mitotic Spendle
monoclonal_antibody,Monoclonal antibody,,모노클로놀 안티바디|모노클로넬 안티바디|모노클로놀 안테바리,,,,1,2,
nucleotide,nucleotide,,뉴클러오타이드|뉴클레오타이드,,,,1,2,
target,target,,,,,,0,2,
androgen_receptor,Androgen receptor,,안드로젠 리셉터|안드로젠 리셉터리,,,,1,1,
anti-tumor_immune_response,anti-tumor immune response,,안티튜머 이뮤니션 리스판스,,,,1,1,
antiandrogen,Antiandrogen,anti-androgen|anti-androgens,안티안드로젠,,,,1,1,
antitumor_antibiotics,antitumor antibiotics,,안티투머 엔티바이올릭스,,,,1,1,reference 수정 과정에서 사후 추가된 용어입니다. (gpt4o 모델만 해당 용어를 음차하여 번역함)
aromatase_inhibitor,Aromatase inhibitor,,아로마텍스 이네비터,,,,1,1,whisper/gpt4o Latin misread: Aromatics Inhibitor(y)
arrest,arrest,,,,,,0,1,
bcr-abl,BCR-ABL,,,,,,1,1,STT misreads: BCRFEL (whisper) / PDRFAR (gpt4o seg)
cell,cell,,,,,,0,1,
cellular_therapy,Cellular therapy,,셀러럴 세라피,,,,1,1,
classical_cytotoxic_chemotherapy,classical cytotoxic chemotherapy,,클래식한 사이토톡식 캠어치료약,,,,1,1,
cross-link,cross-link,cross-links,크로스 링크|크로스링크,,,,1,1,
ctla-4,CTLA-4,CTLA4,,,,,1,1,
division,division,,,,,,0,1,
dna_synthesis_inhibitor,DNA synthesis inhibitor,,DNA 센세스 애니비터|DNA 센서시스 에네비터,,,,1,1,
egfr,EGFR,,,,,,1,1,gpt4o misread: PDRFAR
endocrine_signaling,endocrine signaling,,엔도크린 시그널링,,,,1,1,
enzyme,enzyme,,엔자임,,,,1,1,
estrogen,Estrogen,,에스트로젠,,,,1,1,whisper Latin misread: Astrogen
her2,HER2,,,,,,1,1,
hormone-dependent_tumor,hormone-dependent tumor,,호르몬 디펜던 튜머,,,,1,1,
immune,immune,,이민|이면,,,,1,1,
immune_checkpoint,immune checkpoint,,이뮨 체크 포인트|이뮤니워 체크포인트|이뮤언 체크 포인트,,,,1,1,
immune_checkpoint_inhibitor,Immune checkpoint inhibitor,,이뮤니션 체크 포인트 이네비터,,,,1,1,
m-phase,M-phase,,,,,,1,1,
m-phase_arrest,M-phase arrest,,,,,,1,1,
microtubule,microtubule,,마이크로트로블,,,,1,1,
pd-1,PD-1,,,,,,1,1,
pd-l1,PD-L1,PDL-1,,,,,1,1,
phase,phase,,,,,,1,1,
phase-specific,phase-specific,,,,,,1,1,
rapid_dividing_cell,rapid dividing cell,rapidly dividing cells,래피드리 디바이딩 셀스|래피드리 디바이징 셀즈,,,,1,1,
receptor,receptor,,리셉터,,,,1,1,
representative_concept,Representative concept,,컨셉트,,,,1,1,
s-phase_progression,S-phase progression,,S-Phase 프로그레션|S-Phase 프로그레이션,,,,1,1,
selective,selective,,,,,,0,1,
serms,SERMs,,,,,,1,1,gpt4o misread: Cerms
signal_transduction_inhibitor,Signal transduction inhibitor,,세그너 트랜스덕션 애니비터|세그너 트랜스덕션 에네비터,,,,1,1,
specific,specific,,,,,,1,1,
specific_molecular_target,specific molecular target,,,,,,1,1,
t-cell_activity,T-Cell activity,,T셀 액티비티,,,,1,1,
therapy,therapy,,,,,,0,1,
toxicity,toxicity,,턱세스티|텍스티,,,,1,1,
tumor_cell,tumor cell,,투머셀,,,,1,1,
tumor_growth,tumor growth,,튜머 그로스,,,,1,1,
tyrosine_kinase_inhibitor,Tyrosine kinase inhibitor,,타이로신 카이네스 애니비터|타이로신 카이네스 에네비터,,,,1,1,whisper Latin misread: Tyrosine Kindness Inhibitor
vegf_pathway,VEGF Pathway,,VEGF 타스웨이,,,,1,1,
