claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters,review_note
ant_sr01,﻿네 오늘은 항암제에 대해서 다뤄보도록 하겠습니다.,오늘은 항암제에 대해 이야기해보도록 하겠습니다.,Faithful,,,
ant_sr02,항암제의 중요한 목표는 이제 항암제가 무엇을 target으로 하는지 항암제가 무엇을 target으로 하는지 항암제의 메커니즘은 무엇인지 그리고 임상적으로 어떻게 쓰이는지 이런 것들을 저희가 알아보도록 하겠습니다.,"오늘은 항암제에 대해 이야기해보도록 하겠습니다. … 항암제의 중요한 목표는 종양 세포를 특이하게 공격하여 제거하는 것입니다. 항암제는 다양한 메커니즘을 활용하여 종양을 치료하며, 주로 Cytotoxic Chemotherapy, Targeted Therapy, Hormonal Therapy, Immunotherapy 등으로 분류됩니다. 이 중에서도 항암제의 주요 타겟은 DNA, 효소, 수용체, 면역 체크포인트 등이 있습니다.",Faithful,,,
ant_sr03,"먼저 항암제의 큰 종류는 이 cytotoxic chemotherapy, targeted therapy, hormonal therapy 그리고 immunotherapy로 나눌 수가 있겠습니다.","항암제의 중요한 목표는 종양 세포를 특이하게 공격하여 제거하는 것입니다. 항암제는 다양한 메커니즘을 활용하여 종양을 치료하며, 주로 Cytotoxic Chemotherapy, Targeted Therapy, Hormonal Therapy, Immunotherapy 등으로 분류됩니다. 이 중에서도 항암제의 주요 타겟은 DNA, 효소, 수용체, 면역 체크포인트 등이 있습니다. … Cytotoxic Chemotherapy는 주로 빠르게 분열하는 세포를 공격하여 제거하는 항암제로, 주요 타겟은 DNA 합성, DNA 복제, 미토시스 등이 됩니다.",Faithful,,,
ant_sr04,여기서 중요한 콘셉트는 바로 이 항암제들의 타겟이 DNA라든가 enzyme이라든가 receptor이라든가 immune checkpoint가 되겠습니다.,"항암제의 중요한 목표는 종양 세포를 특이하게 공격하여 제거하는 것입니다. … 이 중에서도 항암제의 주요 타겟은 DNA, 효소, 수용체, 면역 체크포인트 등이 있습니다. Cytotoxic Chemotherapy는 주로 빠르게 분열하는 세포를 공격하여 제거하는 항암제로, 주요 타겟은 DNA 합성, DNA 복제, 미토시스 등이 됩니다.",Faithful,,,
ant_sr05,그래서 이 각각에 대해서 저희가 좀 더 자세히 다뤄보도록 하겠습니다.,오늘은 항암제에 대해 이야기해보도록 하겠습니다.,Faithful,,,
ant_sr06,먼저 cytotoxic chemotherapy 같은 경우에는 이 항암제 중에서 rapid dividing cell를 죽이는 그러한 종류의 항암제다라고 볼 수 있겠습니다.,"항암제는 다양한 메커니즘을 활용하여 종양을 치료하며, 주로 Cytotoxic Chemotherapy, Targeted Therapy, Hormonal Therapy, Immunotherapy 등으로 분류됩니다. … 이 중에서도 항암제의 주요 타겟은 DNA, 효소, 수용체, 면역 체크포인트 등이 있습니다. Cytotoxic Chemotherapy는 주로 빠르게 분열하는 세포를 공격하여 제거하는 항암제로, 주요 타겟은 DNA 합성, DNA 복제, 미토시스 등이 됩니다.",Faithful,,,
ant_sr07,그래서 얘들의 메인 타깃은 DNA 합성이라든가 DNA 복제 또는 mitotic spindle이 되겠습니다.,"이 중에서도 항암제의 주요 타겟은 DNA, 효소, 수용체, 면역 체크포인트 등이 있습니다. Cytotoxic Chemotherapy는 주로 빠르게 분열하는 세포를 공격하여 제거하는 항암제로, 주요 타겟은 DNA 합성, DNA 복제, 미토시스 등이 됩니다.",Minor rewrite,"mitotic spindle을 mitosis로 축약하였으나, 세포 분열(mitosis)을 표적으로 한다는 맥락은 유지되어 의미 파악에는 무리가 없습니다.",,
ant_sr08,"예를 자세하게 좀 더 나누면 antimetabolite 또는 alkylating agents, antitumor antibiotics 또는 microtubule inhibitors 같은 것들이 있겠습니다.","이 중 antimetabolite, alkylating agent, antitumor antibiotics, microtubule inhibitors 등이 있으며, 이들은 주로 세포 분열을 억제하여 종양을 치료합니다. … Antimetabolite는 주로 DNA 합성을 방해하는데 사용됩니다. 따라서 nucleotide 합성이나 nucleotide 통합과 같은 부분에 간섭하게 되면 tumor cell의 S-phase 프로그레이션을 억제하게 됩니다.",Faithful,,,
ant_sr09,그래서 얘들은 기본적으로 이 급격하게 분열하는 세포를 모두 이 무분별하게 죽이기 때문에 toxicity가 일반적으로 이제 분열하는 이 정상 조직에도 가질 수가 있다라는 것이 하나의 특징점이 되겠습니다.,"Cytotoxic Chemotherapy는 주로 빠르게 분열하는 세포를 공격하여 제거하는 항암제로, 주요 타겟은 DNA 합성, DNA 복제, 미토시스 등이 됩니다. … 그러나 이러한 항암제는 정상 세포에도 영향을 줄 수 있어 부작용이 발생할 수 있습니다.",Omission,급격하게 분열하는 세포를 무분별하게 파괴한다는 핵심 독성 기전이 누락되었습니다.,,
ant_sr10,antimetabolite 같은 경우에는 DNA 합성 쪽에 관여를 하고요.,"이 중 antimetabolite, alkylating agent, antitumor antibiotics, microtubule inhibitors 등이 있으며, 이들은 주로 세포 분열을 억제하여 종양을 치료합니다. … Antimetabolite는 주로 DNA 합성을 방해하는데 사용됩니다. … 이로 인해 DNA synthesis inhibitor와 같은 대표적인 개념으로 분류될 수 있습니다.",Faithful,,,
