claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters
diu_sr01,안녕하세요.,안녕하세요.,Faithful ,,
diu_sr02,이뇨제 diuretics에 대한 수업을 시작하겠습니다.,이제 diuretics에 대한 수업을 시작하겠습니다.,Faithful ,,
diu_sr03,우선 이뇨제란 kidney에서 나트륨의 reabsorption을 줄여서 osmotic gradient를 무너뜨리고 이로 인해 소변으로 물이 같이 빠지도록 만드는 약제들입니다.,"인유제란 신장에서 나트륨의 재흡수를 감소시켜 osmotic gradient를 파괴하여 소변으로 물이 배출되도록 하는 약물입니다. … nephron은 신장 내의 다양한 부위를 가리키며, 이 중에서 중요한 부위로 proximal convoluted tubule, loop of Henle, distal convoluted tubule, 그리고 collecting duct가 있습니다.",Faithful ,,
diu_sr04,모든 이뇨제는 nephron의 특정 segment에 작용하게 되고 이 이뇨제들의 분류도 그래서 각 이뇨제들의 site of action에 따라 분류하게 됩니다.,"모든 인유제는 신장의 특정 세포나 부위에 작용하며, 이에 따라 site of action에 따라 분류됩니다. nephron에 대해 간단히 설명하겠습니다. nephron은 신장 내의 다양한 부위를 가리키며, 이 중에서 중요한 부위로 proximal convoluted tubule, loop of Henle, distal convoluted tubule, 그리고 collecting duct가 있습니다.",Minor rewrite,,"신장의 특정 세포나 부위라는 설명도 틀리지 않으나, nephron이라는 용어가 더 정확합니다."
diu_sr05,nephron에 대해 빠르게 알아야 될 부분만 알아가겠습니다.,"nephron에 대해 간단히 설명하겠습니다. nephron은 신장 내의 다양한 부위를 가리키며, 이 중에서 중요한 부위로 proximal convoluted tubule, loop of Henle, distal convoluted tubule, 그리고 collecting duct가 있습니다.",Faithful ,,
diu_sr06,"nephron에서 저희가 중점적으로 지금 봐야 될 부분은 proximal convoluted tubule, loop of henle, distal convoluted tubule, 그리고 collecting duct 이렇게 있는데 proximal convoluted tubule에서는 나트륨 reabsorption이 65에서 70% 정도 일어나고 loop of henle의 thick ascending limb에서 약 25% 정도, distal convoluted tubule에서 5에서 10% 정도, collecting duct에서는 2에서 3% 정도 일어나게 됩니다.","nephron은 신장 내의 다양한 부위를 가리키며, 이 중에서 중요한 부위로 proximal convoluted tubule, loop of Henle, distal convoluted tubule, 그리고 collecting duct가 있습니다. proximal convoluted tubule에서는 대략 65-70%의 나트륨 재흡수가 일어나며, loop of Henle에서는 약 25%, distal convoluted tubule에서는 5-10%, collecting duct에서는 2-3%의 나트륨 재흡수가 일어납니다.",Faithful ,,
diu_sr07,앞으로 배울 이뇨제들도 지금 말한 이 순서 그대로 site of action을 가지는 것들로 배워보겠습니다.,앞으로 배울 인유제들도 이와 같은 순서로 작용하는 것들을 배우게 될 것입니다. 이제 첫 번째로 배울 Carbonic Anhydrase Inhibitor에 대해 알아보겠습니다.,Faithful ,,
diu_sr08,이제 carbonic anhydrase inhibitor라는 첫 번째 이뇨제에 대해 배워보겠습니다.,"이제 첫 번째로 배울 Carbonic Anhydrase Inhibitor에 대해 알아보겠습니다. … 이 약물의 메커니즘은 Carbonic Anhydrase를 억제하여 H+ 이온 배출을 감소시키고, 결과적으로 나트륨 재흡수를 감소시켜 나트륨과 bicarbonate의 배설을 촉진합니다.",Faithful ,,
diu_sr09,이 약제가 작용하는 site는 proximal convoluted tubule이 되고 대표적인 약제로는 acetazolamide가 있습니다.,"proximal convoluted tubule에서는 대략 65-70%의 나트륨 재흡수가 일어나며, loop of Henle에서는 약 25%, distal convoluted tubule에서는 5-10%, collecting duct에서는 2-3%의 나트륨 재흡수가 일어납니다. 앞으로 배울 인유제들도 이와 같은 순서로 작용하는 것들을 배우게 될 것입니다. … 이 약물은 proximal convoluted tubule에서 작용하며, 대표적인 약물로 acetazolamide가 있습니다.",Faithful ,,
diu_sr10,이 약제의 메커니즘은 carbonic anhydrase를 억제해서 H+ 생성을 감소시키고 결과적으로 Na/H exchanger 활성도를 감소시켜 나트륨 그리고 bicarbonate 재흡수를 감소시킵니다.,"이제 첫 번째로 배울 Carbonic Anhydrase Inhibitor에 대해 알아보겠습니다. … 이 약물의 메커니즘은 Carbonic Anhydrase를 억제하여 H+ 이온 배출을 감소시키고, 결과적으로 나트륨 재흡수를 감소시켜 나트륨과 bicarbonate의 배설을 촉진합니다. 따라서 나트륨과 bicarbonate가 소변으로 배출되도록 하는 원리입니다. … 또한 bicarbonate는 소변으로 칼륨이 손실되는 것을 막아주어 탈수증후군이나 대사성 alkalosis를 치료하는 데에도 사용될 수 있습니다.",Faithful ,,생성 억제 역시 타당한 설명입니다.
diu_sr11,결과적으로 나트륨이랑 bicarbonate가 소변으로 손실되게 되는 원리가 되겠습니다.,"이 약물의 메커니즘은 Carbonic Anhydrase를 억제하여 H+ 이온 배출을 감소시키고, 결과적으로 나트륨 재흡수를 감소시켜 나트륨과 bicarbonate의 배설을 촉진합니다. 따라서 나트륨과 bicarbonate가 소변으로 배출되도록 하는 원리입니다. … 또한 bicarbonate는 소변으로 칼륨이 손실되는 것을 막아주어 탈수증후군이나 대사성 alkalosis를 치료하는 데에도 사용될 수 있습니다.",Faithful ,,
