claim_id,reference_claim,ai_lecturenote_output,label,error_type,why_it_matters
acu_sr01,안녕하세요.,안녕하세요.,Faithful ,,
acu_sr02,Acute Inflammation에 대한 수업을 시작하겠습니다.,"acute inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation은 injury나 infection에 대항하기 위한 vascular 그리고 cellular response를 의미합니다. 이 inflammation의 목적은 pathogen 제거, damaged tissue 처리, 그리고 repair를 시작하는 데 있습니다.",Faithful ,,
acu_sr03,우선 Inflammation이란 injury나 infection이 나타났을 때 이에 대항하기 위한 Vascular 그리고 Cellular Response를 의미하게 됩니다.,"acute inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation은 injury나 infection에 대항하기 위한 vascular 그리고 cellular response를 의미합니다. 이 inflammation의 목적은 pathogen 제거, damaged tissue 처리, 그리고 repair를 시작하는 데 있습니다. 또한 다섯 가지 cardinal sign of inflammation이 있는데 이들은 redness, heat, swelling, pain, loss of function을 말합니다.",Faithful ,,
acu_sr04,"이 Inflammation의 목적은 Pathogen 제거, Damaged Tissue 처리, 그리고 Repair를 시작하는 데 있습니다.","acute inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation은 injury나 infection에 대항하기 위한 vascular 그리고 cellular response를 의미합니다. 이 inflammation의 목적은 pathogen 제거, damaged tissue 처리, 그리고 repair를 시작하는 데 있습니다. 또한 다섯 가지 cardinal sign of inflammation이 있는데 이들은 redness, heat, swelling, pain, loss of function을 말합니다.",Faithful ,,
acu_sr05,"그리고 또한 5가지 Cardinal Sign of Inflammation이라는 게 있는데, 이들은 Redness, Heat, Swelling, Pain, Loss of Function을 5개를 말합니다.","acute inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation은 injury나 infection에 대항하기 위한 vascular 그리고 cellular response를 의미합니다. 이 inflammation의 목적은 pathogen 제거, damaged tissue 처리, 그리고 repair를 시작하는 데 있습니다. 또한 다섯 가지 cardinal sign of inflammation이 있는데 이들은 redness, heat, swelling, pain, loss of function을 말합니다. … 오늘 다룰 acute inflammation은 주로 빠르게 시작하고 짧게 지속되며 neutrophil 중심인 inflammation입니다.",Faithful ,,
acu_sr06,"혹은 Rubor, Calor, Tumor, Dolor, functio laesa라고 부르기도 합니다.","또한 다섯 가지 cardinal sign of inflammation이 있는데 이들은 redness, heat, swelling, pain, loss of function을 말합니다. rubor, calor, tumor, dolor, functio laesa로도 불릴 수 있습니다.",Faithful ,,
acu_sr07,오늘 알아볼 Acute Inflammation은 주로 빠르게 시작하고 보통 짧게 지속되며 neutrophil 중심이 되는 Inflammation입니다.,"또한 다섯 가지 cardinal sign of inflammation이 있는데 이들은 redness, heat, swelling, pain, loss of function을 말합니다. … 오늘 다룰 acute inflammation은 주로 빠르게 시작하고 짧게 지속되며 neutrophil 중심인 inflammation입니다. chronic inflammation은 다음에 다루도록 하겠습니다.",Faithful ,,
acu_sr08,"Acute Inflammation 말고 Chronic Inflammation도 있는데, 이건 다음에 다뤄보도록 하겠습니다.","또한 다섯 가지 cardinal sign of inflammation이 있는데 이들은 redness, heat, swelling, pain, loss of function을 말합니다. … 오늘 다룰 acute inflammation은 주로 빠르게 시작하고 짧게 지속되며 neutrophil 중심인 inflammation입니다. chronic inflammation은 다음에 다루도록 하겠습니다.",Faithful ,,
acu_sr09,우선 첫 번째로 Vascular Change 먼저 살펴보겠습니다.,첫 번째로 vascular change를 살펴보겠습니다. … 이 과정은 주로 histamine과 NO에 의해 매개되며 vascular permeability도 증가합니다.,Faithful ,,
acu_sr10,"injury가 즉시 발생한 직후에는 처음에는 즉시 Transient Vasoconstriction이 몇 초 동안 일어나게 되는데, 이제 곧 Vasodilation이 일어나게 돼서 Blood Flow가 증가하고 이 때문에 Redness와 Heat가 나타나게 됩니다.",injury가 발생한 직후에는 즉시 transient vasoconstriction이 일어나며 이후 vasodilation이 발생하여 blood flow가 증가하고 이로 인해 redness와 heat가 나타납니다. 이 과정은 주로 histamine과 NO에 의해 매개되며 vascular permeability도 증가합니다.,Faithful ,,
acu_sr11,"주로 이것은 Histamine과 NO에 의해 매개가 되며, 그리고 또 Vascular Permeability 또한 증가하게 되는데, 이거는 다양한 기전들이 합쳐져서 나타나는 결과입니다.",injury가 발생한 직후에는 즉시 transient vasoconstriction이 일어나며 이후 vasodilation이 발생하여 blood flow가 증가하고 이로 인해 redness와 heat가 나타납니다. 이 과정은 주로 histamine과 NO에 의해 매개되며 vascular permeability도 증가합니다. endothelial cell contraction으로 인해 histamine과 leukotriene이 생성되고 이로 인해 vascular permeability가 증가할 수 있습니다. 또한 endothelial layer 자체가 injury를 입으면 vascular permeability가 증가할 수도 있습니다.,Minor rewrite,,"vascular permeability가 다양한 기전에 의해 나타난다는 내용 중 기전의 다양성 부분이 누락되었으나, 의미 전달에 큰 문제는 없습니다."
acu_sr12,"우선 Endothelial Cell Contraction 때문에 Histamine이랑 Leukotriene이 생성이 되고 이들에 의해 Endothelial Cell들이 Contraction되게 돼서 Vascular Permeability가 일어날 수가 있고, 또한 Direct하게 Endothelial Layer 자체가 Injured를 입게 되면 그 때문에 Vascular Permeability가 증가할 수도 있습니다.","injury가 발생한 직후에는 즉시 transient vasoconstriction이 일어나며 이후 vasodilation이 발생하여 blood flow가 증가하고 이로 인해 redness와 heat가 나타납니다. 이 과정은 주로 histamine과 NO에 의해 매개되며 vascular permeability도 증가합니다. endothelial cell contraction으로 인해 histamine과 leukotriene이 생성되고 이로 인해 vascular permeability가 증가할 수 있습니다. 또한 endothelial layer 자체가 injury를 입으면 vascular permeability가 증가할 수도 있습니다. 루코사이트가 활발하게 일하면서 collector를 통해 damage를 줄 수도 있는데, 이로 인해 vascular permeability가 증가할 수 있습니다.",Faithful ,,
acu_sr13,"또한 Leukocyte가 막 열심히 일을 하면서 Collateral하게 데미지를 줄 수도 있는데, 이것 때문에 Vascular Permeability가 증가할 수도 있습니다.","endothelial cell contraction으로 인해 histamine과 leukotriene이 생성되고 이로 인해 vascular permeability가 증가할 수 있습니다. 또한 endothelial layer 자체가 injury를 입으면 vascular permeability가 증가할 수도 있습니다. 루코사이트가 활발하게 일하면서 collector를 통해 damage를 줄 수도 있는데, 이로 인해 vascular permeability가 증가할 수 있습니다.",Substitution,"collateral이라는 단어를 ""collertor을 통해""로 변형하여, collateral damage의 본래 의미가 훼손되었습니다.",
acu_sr14,"어쨌든 결과적으로 Protein Rich한 Fluid가 Vessel 밖으로 새어나가게 되는데, 이것을 저희는 Exudate라고 부릅니다.","이로 인해 protein을 일치하는 fluid가 interstitial space로 새어나가는데, 이를 exudate라고 합니다. exudate와 transudate를 구분해야 하는데, 둘 다 fluid가 interstitial space에 있다는 점에서는 동일하지만, 개념적으로는 다릅니다. exudate는 protein 농도가 높고 specific gravity가 높으며 inflammation이 있습니다. 반면 transudate는 protein 농도가 낮고 hydrostatic pressure로 인해 발생합니다.",Substitution,protein rich의 의미가 'protein을 일치하는'이라는 부적절한 표현으로 변형되었습니다.,
acu_sr15,"여기서 이제 구분해야 될 게 Exudate랑 Transudate를 구분해야 되는데, 결국 Fluid가 Vessel 밖에 있다는 건 똑같지만 굉장히 둘은 다른 개념입니다.","이로 인해 protein을 일치하는 fluid가 interstitial space로 새어나가는데, 이를 exudate라고 합니다. exudate와 transudate를 구분해야 하는데, 둘 다 fluid가 interstitial space에 있다는 점에서는 동일하지만, 개념적으로는 다릅니다. exudate는 protein 농도가 높고 specific gravity가 높으며 inflammation이 있습니다. … 반면 transudate는 protein 농도가 낮고 hydrostatic pressure로 인해 발생합니다.",Faithful ,,
acu_sr16,"Exudate는 Protein 농도가 높고, 그리고 Specific Gravity가 높고 Inflammation이 있습니다.","이로 인해 protein을 일치하는 fluid가 interstitial space로 새어나가는데, 이를 exudate라고 합니다. … 이로 인해 protein을 일치하는 fluid가 interstitial space로 새어나가는데, 이를 exudate라고 합니다. exudate와 transudate를 구분해야 하는데, 둘 다 fluid가 interstitial space에 있다는 점에서는 동일하지만, 개념적으로는 다릅니다. exudate는 protein 농도가 높고 specific gravity가 높으며 inflammation이 있습니다. 반면 transudate는 protein 농도가 낮고 hydrostatic pressure로 인해 발생합니다.",Faithful ,,
acu_sr17,"Transudate는 Protein 농도가 낮고, 보통 Hydrostatic Pressure 때문에 발생하는 것입니다.","exudate와 transudate를 구분해야 하는데, 둘 다 fluid가 interstitial space에 있다는 점에서는 동일하지만, 개념적으로는 다릅니다. … exudate는 protein 농도가 높고 specific gravity가 높으며 inflammation이 있습니다. 반면 transudate는 protein 농도가 낮고 hydrostatic pressure로 인해 발생합니다. … 그리고 이어서 stasis가 발생하는데, 이는 fluid가 빠져나가면 vessel 안에 있는 red blood cells의 농도가 높아지고, 결과적으로 fluid viscosity가 증가하여 flow가 느려지는 현상을 말합니다.",Faithful ,,
acu_sr18,예를 들어 Congestive Heart Failure 때문에 발생할 수 있겠습니다.,예를 들어 congestive heart failure로 인해 발생할 수 있습니다.,Faithful ,,
acu_sr19,"그리고 이제 Stasis가 나타나게 되는데, 이건 아까 말했다시피 Fluid가 빠져나가게 되면 Vessel 안에 있는 Red Blood Cell들의 농도가 높아지게 되고, 그러면 당연히 Blood Viscosity가 증가하게 돼서 Flow가 느려지고, 이걸 Stasis라고 부릅니다.","반면 transudate는 protein 농도가 낮고 hydrostatic pressure로 인해 발생합니다. … 그리고 이어서 stasis가 발생하는데, 이는 fluid가 빠져나가면 vessel 안에 있는 red blood cells의 농도가 높아지고, 결과적으로 fluid viscosity가 증가하여 flow가 느려지는 현상을 말합니다. 이를 stasis라고 합니다. stasis로 인해 루코사이트들이 vessel wall 쪽으로 모일 수 있으며, 이를 margination이라고 합니다. … stasis로 인해 루코사이트들이 vessel wall 쪽으로 모일 수 있으며, 이를 margination이라고 합니다.",Minor rewrite,,"blood vis- 대신 fluid vis-로 기재하였으나, 의미는 충분히 전달됩니다."
acu_sr20,그러면 이제 stasis 때문에 flow가 느려져 있으니까 leukocyte들이 vessel wall 쪽으로 모아질 수가 있는데 이거를 저희는 margination이라고 부릅니다.,"그리고 이어서 stasis가 발생하는데, 이는 fluid가 빠져나가면 vessel 안에 있는 red blood cells의 농도가 높아지고, 결과적으로 fluid viscosity가 증가하여 flow가 느려지는 현상을 말합니다. … 그리고 이어서 stasis가 발생하는데, 이는 fluid가 빠져나가면 vessel 안에 있는 red blood cells의 농도가 높아지고, 결과적으로 fluid viscosity가 증가하여 flow가 느려지는 현상을 말합니다. 이를 stasis라고 합니다. stasis로 인해 루코사이트들이 vessel wall 쪽으로 모일 수 있으며, 이를 margination이라고 합니다. margination 이후에는 루코사이트 recruitment cascade를 살펴볼 것입니다. margination이 발생한 후 rolling, adhesion, transmigration, 그리고 chemotaxis 순서로 진행되는데, 먼저 margination과 rolling부터 살펴보겠습니다. 스테이시스로 인해 leukocyte가 endothelium 쪽으로 이동하는 현상을 Margination이라고 하며, Rolling은 leukocyte가 endothelium 표면을 따라 굴러가는 과정을 의미합니다.",Faithful ,,
acu_sr21,그럼 이제 margination에 이어서 계속 leukocyte Recruitment Cascade를 알아보도록 하겠습니다.,"stasis로 인해 루코사이트들이 vessel wall 쪽으로 모일 수 있으며, 이를 margination이라고 합니다. margination 이후에는 루코사이트 recruitment cascade를 살펴볼 것입니다. margination이 발생한 후 rolling, adhesion, transmigration, 그리고 chemotaxis 순서로 진행되는데, 먼저 margination과 rolling부터 살펴보겠습니다. 스테이시스로 인해 leukocyte가 endothelium 쪽으로 이동하는 현상을 Margination이라고 하며, Rolling은 leukocyte가 endothelium 표면을 따라 굴러가는 과정을 의미합니다.",Faithful ,,
acu_sr22,"방금 얘기한 margination이 일어나고, 그 다음에 rolling이 일어나고, 그 다음 adhesion이 일어난 후, transmigration, chemotaxis 순으로 이어지는데 우선 첫 번째로 margination and rolling부터 보겠습니다.","stasis로 인해 루코사이트들이 vessel wall 쪽으로 모일 수 있으며, 이를 margination이라고 합니다. margination 이후에는 루코사이트 recruitment cascade를 살펴볼 것입니다. margination이 발생한 후 rolling, adhesion, transmigration, 그리고 chemotaxis 순서로 진행되는데, 먼저 margination과 rolling부터 살펴보겠습니다. 스테이시스로 인해 leukocyte가 endothelium 쪽으로 이동하는 현상을 Margination이라고 하며, Rolling은 leukocyte가 endothelium 표면을 따라 굴러가는 과정을 의미합니다.",Faithful ,,
acu_sr23,방금 설명드렸듯이 stasis로 인해 leukocyte가 endothelium 쪽으로 이동하게 되는 걸 margination이라 부른다 했고 이제 롤링은 leukocyte가 endothelium의 표면을 따라 굴러가는 겁니다.,"stasis로 인해 루코사이트들이 vessel wall 쪽으로 모일 수 있으며, 이를 margination이라고 합니다. margination 이후에는 루코사이트 recruitment cascade를 살펴볼 것입니다. margination이 발생한 후 rolling, adhesion, transmigration, 그리고 chemotaxis 순서로 진행되는데, 먼저 margination과 rolling부터 살펴보겠습니다. 스테이시스로 인해 leukocyte가 endothelium 쪽으로 이동하는 현상을 Margination이라고 하며, Rolling은 leukocyte가 endothelium 표면을 따라 굴러가는 과정을 의미합니다. 이때 매개체로는 selectin이 작용하는데, E-selectin과 P-selectin은 endothelium에 발현되며, 이들은 cytokine에 의해 조절됩니다.",Faithful ,,
