claim_id,reference_claim,gpt4o_ailn_post_output,label,error_type,why_it_matters
acu_sr01,안녕하세요.,안녕하세요.,Faithful,,
acu_sr02,Acute Inflammation에 대한 수업을 시작하겠습니다.,"Acute Inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation이란 부상이나 감염이 발생했을 때 이에 대항하기 위한 혈관 및 세포 반응을 의미합니다. 이 inflammation의 목적은 병원체 제거, 손상된 조직 처리, 그리고 수리를 시작하는 데 있습니다. 또한 5가지 cardinal sign of inflammation이라는 것이 있는데, 이들은 redness, heat, swelling, pain, loss of function을 말합니다.",Faithful,,
acu_sr03,우선 Inflammation이란 injury나 infection이 나타났을 때 이에 대항하기 위한 Vascular 그리고 Cellular Response를 의미하게 됩니다.,"Acute Inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation이란 부상이나 감염이 발생했을 때 이에 대항하기 위한 혈관 및 세포 반응을 의미합니다. 이 inflammation의 목적은 병원체 제거, 손상된 조직 처리, 그리고 수리를 시작하는 데 있습니다. 또한 5가지 cardinal sign of inflammation이라는 것이 있는데, 이들은 redness, heat, swelling, pain, loss of function을 말합니다.",Faithful,,
acu_sr04,"이 Inflammation의 목적은 Pathogen 제거, Damaged Tissue 처리, 그리고 Repair를 시작하는 데 있습니다.","Acute Inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation이란 부상이나 감염이 발생했을 때 이에 대항하기 위한 혈관 및 세포 반응을 의미합니다. 이 inflammation의 목적은 병원체 제거, 손상된 조직 처리, 그리고 수리를 시작하는 데 있습니다. 또한 5가지 cardinal sign of inflammation이라는 것이 있는데, 이들은 redness, heat, swelling, pain, loss of function을 말합니다.",Faithful,,
acu_sr05,"그리고 또한 5가지 Cardinal Sign of Inflammation이라는 게 있는데, 이들은 Redness, Heat, Swelling, Pain, Loss of Function을 5개를 말합니다.","Acute Inflammation에 대한 수업을 시작하겠습니다. 우선 inflammation이란 부상이나 감염이 발생했을 때 이에 대항하기 위한 혈관 및 세포 반응을 의미합니다. 이 inflammation의 목적은 병원체 제거, 손상된 조직 처리, 그리고 수리를 시작하는 데 있습니다. 또한 5가지 cardinal sign of inflammation이라는 것이 있는데, 이들은 redness, heat, swelling, pain, loss of function을 말합니다. … 오늘 알아볼 acute inflammation은 주로 빠르게 시작하고 보통 짧게 지속되며 주로 엽혈구 중심이 되는 inflammation입니다.",Faithful,,
acu_sr06,"혹은 Rubor, Calor, Tumor, Dolor, functio laesa라고 부르기도 합니다.","또한 5가지 cardinal sign of inflammation이라는 것이 있는데, 이들은 redness, heat, swelling, pain, loss of function을 말합니다. 혹은 rubor, calor, tumor, dolor, functio laesa라고도 부릅니다.",Faithful,,
acu_sr07,오늘 알아볼 Acute Inflammation은 주로 빠르게 시작하고 보통 짧게 지속되며 neutrophil 중심이 되는 Inflammation입니다.,"또한 5가지 cardinal sign of inflammation이라는 것이 있는데, 이들은 redness, heat, swelling, pain, loss of function을 말합니다. … 오늘 알아볼 acute inflammation은 주로 빠르게 시작하고 보통 짧게 지속되며 주로 엽혈구 중심이 되는 inflammation입니다. Acute inflammation 이외에도 chronic inflammation도 있는데, 이에 대해서는 다음에 다루도록 하겠습니다.",Substitution,,'엽혈구'라는 잘못된 단어가 사용되었습니다.
acu_sr08,"Acute Inflammation 말고 Chronic Inflammation도 있는데, 이건 다음에 다뤄보도록 하겠습니다.","오늘 알아볼 acute inflammation은 주로 빠르게 시작하고 보통 짧게 지속되며 주로 엽혈구 중심이 되는 inflammation입니다. Acute inflammation 이외에도 chronic inflammation도 있는데, 이에 대해서는 다음에 다루도록 하겠습니다.",Faithful,,
acu_sr09,우선 첫 번째로 Vascular Change 먼저 살펴보겠습니다.,"우선 첫 번째로 vascular change를 먼저 살펴보겠습니다. … 주로 histamine과 NO에 의해 매개되며, 또한 vascular permeability도 증가하는데, 이는 다양한 기전들이 결합하여 나타나는 결과입니다.",Faithful,,
acu_sr10,"injury가 즉시 발생한 직후에는 처음에는 즉시 Transient Vasoconstriction이 몇 초 동안 일어나게 되는데, 이제 곧 Vasodilation이 일어나게 돼서 Blood Flow가 증가하고 이 때문에 Redness와 Heat가 나타나게 됩니다.","부상이 발생한 직후에는 처음에는 즉시 transient vasoconstriction이 일어나지만, 이후에 vasodilation이 발생하여 혈류가 증가하고 이로 인해 redness와 heat가 나타나게 됩니다. 주로 histamine과 NO에 의해 매개되며, 또한 vascular permeability도 증가하는데, 이는 다양한 기전들이 결합하여 나타나는 결과입니다.",Faithful,,
