term_id,canonical_english,english_variants,korean_phonetic,category,polarity_group,polarity_value,keep,ref_count_auto,notes
leukocyte,leukocyte,,루코사이트|르코사이트,,,,1,17,
acute_inflammation,Acute Inflammation,,아큐트 인플라메이션|어큐트 인플라메이션,,,,1,7,
vascular_permeability,Vascular Permeability,,베스킬러 퍼미어빌리티|베스큘러 퍼미어빌리티,,,,1,7,
endothelium,endothelium,,엔도셀리움|엔도셀렘,,,,1,6,
killing,killing,,,,,,0,7,
chemotaxis,chemotaxis,,케모텍시스,,,,1,5,
cytokine,cytokine,,사이토카인|사이트카인,,,,1,5,
il-1,IL-1,,,,,,1,5,
c5a,C5a,,,,,,1,4,
chemoattractant,Chemoattractant,,케모어트랙턴트|케모어트랙턴,,,,1,4,
firm_adhesion,Firm Adhesion,,,,,,1,4,
histamine,Histamine,,히스타민,,,,1,4,
inflammation,Inflammation,,인플라메이션,,,,1,14,
injury,injury,,인저리|인절리,,,,1,4,
integrin,integrin,,인테그린,,,,1,4,
margination,margination,,마지네이션|마지네이션,,,,1,5,
neutrophil,neutrophil,,뉴트로필|유트로필,,,,1,5,
rolling,rolling,,롤링,,,,1,5,
stasis,Stasis,,스테시스|스테이시스,,,,1,4,
tnf,TNF,,,,,,1,5,
transmigration,transmigration,,트랜스마이그레이션,,,,1,4,
exudate,Exudate,,엑스데이트,,,,1,3,
fever,fever,,피버,,,,1,3,
fluid,Fluid,,,,,,0,3,
leukotriene,leukotriene,,루코트린|루코트린,,,,1,4,
macrophage,macrophage,,마크로파이지|마크로파지|마이크로파이지,,,,1,3,
pain,pain,,,,,,1,3,
pathogen,pathogen,,패소젠,,,,1,3,
prostaglandin,prostaglandin,,프로스타그란딩|프로스타글란딘,,,,1,4,
selectin,selectin,,셀렉틴,,,,1,9,
vasodilation,vasodilation,,베소 다일레이션|베소다일레이션,,vessel_tone,dilation,1,4,
vessel,Vessel,,,,,,1,4,
adhesion,adhesion,,어데이션|어디이션|어데이션,,,,1,6,
chemokine,chemokine,,케모카인|케부카인,,,,1,2,
chronic_inflammation,Chronic Inflammation,,크로닉 인플라메이션,,,,1,2,
cox_pathway,COX pathway,,콕스 패스웨이|콕스페이스웨이,,,,1,2,
dominant,dominant,,,,,,0,2,
e-selectin,E-selectin,,,,,,1,2,
endogenous,Endogenous,,,,,,1,2,
exogenous,Exogenous,,,,,,1,2,
flow,Flow,,,,,,0,3,
h2o2,H2O2,,,,,,1,2,
heat,Heat,,,,,,1,2,
icam-1,ICAM-1,,,,,,1,2,
low_affinity,low affinity,,로어 피니티|로우 어피니티,,,,1,2,
nsaid,NSAID,,앤세즈|엔세즈,drug,,,1,2,
opsonin,opsonin,,옵소닌,,,,1,2,
oxygen_dependent,oxygen dependent,,,,,,1,2,
oxygen_independent,oxygen independent,,,,,,1,2,
p-selectin,P-selectin,,,,,,1,2,
phagocytosis,phagocytosis,,파고사이토시스|파고사이트시스,,,,1,3,
phagosome,phagosome,,파고솜,,,,1,2,
protein,Protein,,,,,,0,5,
receptor,receptor,,,,,,0,2,
redness,Redness,,,,,,1,2,
repair,Repair,,,,,,1,2,
tissue_regeneration,tissue regeneration,,티슈 리제너레이션,,,,1,2,
transudate,Transudate,,트렌스데이트,,,,1,2,
vcam-1,VCAM-1,,,,,,1,2,
actin_polymerization,actin polymerization,,액틴 폴리머레이션,,,,1,1,
acute_phase_protein,acute phase protein,,어큐트 페이스 프로틴,,,,1,1,
anaphylatoxin,anaphylatoxin,,아나필락톡신|아라필락톡신,,,,1,1,
arachidonic_acid,Arachidonic acid,,아라키토닉 액시|아라키도닉 액시드,,,,1,1,
bacterial_product,bacterial product,,,,,,1,1,
basement_membrane,Basement membrane,,베이스먼드 멤브레인|베이스먼트 멤브레인,,,,1,1,
basophil,basophil,,,,,,1,1,
bleach,bleach,,,,,,1,1,
blood_flow,Blood Flow,,블루트 플로우|블러드 플로우,,,,1,1,
blood_smear,blood smear,,블롯스미러|블루스미어,,,,1,1,
blood_viscosity,Blood Viscosity,,플루이드 비스커시티|블러드 비스커시티,,,,1,1,
bone_marrow,bone marrow,,본메로|본매료,,,,1,1,
bradykinin,bradykinin,,베디키딘|베디키닌,,,,1,1,
c3a,C3a,,,,,,1,1,
c3b,C3b,,,,,,1,1,
c5b,C5b,,,,,,1,1,
calor,Calor,,,,,,1,1,
cardinal_sign_of_inflammation,Cardinal Sign of Inflammation,,,,,,1,1,
cd31,CD31,,,,,,1,1,
cellular_response,Cellular Response,,셀룰러 리스폰스,,,,1,1,
chemical_mediator,chemical Mediator,,,,,,1,1,
chemotactic_gradient,Chemotactic gradient,,케모세틱 그래디언트|케모타틱 그레이디언트,,,,1,1,
