lecture_id,term_id,canonical_english,category,ref_count,whisper1_english,whisper1_phonetic,ai_lecturenote_english,ai_lecturenote_phonetic,gpt4o_english,gpt4o_phonetic,gpt4o_prompted_english,gpt4o_prompted_phonetic,gpt4o_ailn_post_english,gpt4o_ailn_post_phonetic
acuteinflammation_02,leukocyte,leukocyte,,17,0,17,15,3,1,16,0,12,15,0
acuteinflammation_02,acute_inflammation,Acute Inflammation,,7,0,6,6,0,6,1,3,3,6,0
acuteinflammation_02,vascular_permeability,Vascular Permeability,,7,0,6,6,0,4,3,0,3,7,0
acuteinflammation_02,endothelium,endothelium,,6,0,7,7,0,0,7,0,6,7,0
acuteinflammation_02,chemotaxis,chemotaxis,,5,1,4,4,0,0,5,0,5,6,0
acuteinflammation_02,cytokine,cytokine,,5,0,4,3,2,0,5,0,4,5,0
acuteinflammation_02,il-1,IL-1,,5,5,0,5,0,5,0,3,0,5,0
acuteinflammation_02,c5a,C5a,,4,4,0,3,0,4,0,4,0,4,0
acuteinflammation_02,chemoattractant,Chemoattractant,,4,0,6,3,0,0,8,0,7,4,0
acuteinflammation_02,firm_adhesion,Firm Adhesion,,4,0,0,1,0,0,0,0,0,4,0
acuteinflammation_02,histamine,Histamine,,4,0,4,4,0,2,2,0,4,4,0
acuteinflammation_02,inflammation,Inflammation,,14,0,14,14,0,12,2,4,9,12,0
acuteinflammation_02,injury,injury,,4,0,5,3,0,0,4,0,2,2,0
acuteinflammation_02,integrin,integrin,,4,0,4,3,0,0,3,0,4,3,0
acuteinflammation_02,margination,margination,,5,5,0,5,0,0,10,0,10,5,0
acuteinflammation_02,neutrophil,neutrophil,,5,0,5,5,0,0,5,0,5,4,0
acuteinflammation_02,rolling,rolling,,5,6,0,5,0,0,6,0,6,3,3
acuteinflammation_02,stasis,Stasis,,4,0,4,3,1,2,2,0,2,4,0
acuteinflammation_02,tnf,TNF,,5,5,0,5,0,5,0,5,0,5,0
acuteinflammation_02,transmigration,transmigration,,4,4,0,4,0,0,4,0,0,4,0
acuteinflammation_02,exudate,Exudate,,3,0,3,3,0,3,0,0,3,3,0
acuteinflammation_02,fever,fever,,3,0,3,2,0,0,3,0,3,1,0
acuteinflammation_02,leukotriene,leukotriene,,4,0,8,4,0,1,6,0,6,4,0
acuteinflammation_02,macrophage,macrophage,,3,0,2,2,0,0,3,0,2,3,0
acuteinflammation_02,pain,pain,,3,0,0,2,0,1,0,1,0,1,0
acuteinflammation_02,pathogen,pathogen,,3,0,3,3,0,1,2,0,2,1,0
acuteinflammation_02,prostaglandin,prostaglandin,,4,0,2,4,0,0,4,0,4,3,0
acuteinflammation_02,selectin,selectin,,9,0,9,9,0,0,9,0,9,9,0
acuteinflammation_02,vasodilation,vasodilation,,4,0,4,3,0,1,1,0,2,3,0
acuteinflammation_02,vessel,Vessel,,4,0,0,2,0,3,0,0,0,2,0
acuteinflammation_02,adhesion,adhesion,,6,1,1,2,0,0,2,0,0,6,0
acuteinflammation_02,chemokine,chemokine,,2,0,2,2,0,0,2,0,1,2,0
acuteinflammation_02,chronic_inflammation,Chronic Inflammation,,2,0,2,1,0,1,1,1,1,2,0
acuteinflammation_02,cox_pathway,COX pathway,,2,0,2,2,0,0,3,0,2,2,0
acuteinflammation_02,e-selectin,E-selectin,,2,0,0,2,0,0,0,0,0,2,0
acuteinflammation_02,endogenous,Endogenous,,2,0,0,0,0,0,0,0,0,2,0
acuteinflammation_02,exogenous,Exogenous,,2,0,0,0,0,0,0,0,0,2,0
acuteinflammation_02,h2o2,H2O2,,2,2,0,1,0,2,0,2,0,2,0
acuteinflammation_02,heat,Heat,,2,0,0,2,0,2,0,2,0,2,0
acuteinflammation_02,icam-1,ICAM-1,,2,1,0,1,0,0,0,1,0,1,0
acuteinflammation_02,low_affinity,low affinity,,2,2,0,0,0,0,2,0,2,2,0
acuteinflammation_02,nsaid,NSAID,drug,2,0,2,0,0,0,2,0,2,0,0
acuteinflammation_02,opsonin,opsonin,,2,0,2,2,0,0,2,0,2,2,0
acuteinflammation_02,oxygen_dependent,oxygen dependent,,2,0,0,0,0,0,0,0,0,0,0
acuteinflammation_02,oxygen_independent,oxygen independent,,2,0,0,0,0,0,0,0,0,0,0
acuteinflammation_02,p-selectin,P-selectin,,2,0,0,2,0,0,0,0,0,2,0
acuteinflammation_02,phagocytosis,phagocytosis,,3,0,3,2,0,0,3,0,3,3,0
acuteinflammation_02,phagosome,phagosome,,2,0,2,2,0,0,2,0,2,2,0
acuteinflammation_02,redness,Redness,,2,0,0,2,0,2,0,2,0,2,0
acuteinflammation_02,repair,Repair,,2,0,0,2,0,1,0,0,0,1,0
acuteinflammation_02,tissue_regeneration,tissue regeneration,,2,0,2,0,0,0,2,0,2,0,0
acuteinflammation_02,transudate,Transudate,,2,0,2,2,0,2,0,0,0,2,0
acuteinflammation_02,vcam-1,VCAM-1,,2,1,0,1,0,0,0,1,0,2,0
acuteinflammation_02,actin_polymerization,actin polymerization,,1,0,0,0,0,0,1,0,1,1,0
