term_id,canonical_english,english_variants,korean_phonetic,category,polarity_group,polarity_value,keep,ref_count_auto,notes
plasmid,plasmid,,,,,,1,5,
cutaneous_anthrax,Cutaneous Anthrax,,크테이너스 안트랙스|쿠테이너스 앤스렉스|코테이너스 앤트렉스|크테니스 안쓰렉스|크티너스,,,,1,4,
edema_factor,edema factor,EF,에드마펙터|에데마 팩터|에드마 팩터|아드맨 팩터,,,,1,4,
gastrointestinal_anthrax,Gastrointestinal Anthrax,,갸스트로인테스테놀 안트랙스|게스트로 인테스티널 앤스렉스|가스트로 인테스티노 앤트렉스,,,,1,4,
inhalation_anthrax,Inhalation Anthrax,,애널레이션 안트랙스|에널레이션 앤트랙스|인헬레이션 앤트렉스|애널레이지 안쓰렉스|에널레이션 앤스렉스,,,,1,4,
lethal_factor,lethal factor,LF,리소드 팩터|리스펙터|리소 팩터|레설 팩터,,,,1,4,
spore,spore,,스포어|스포,,,,1,4,
anthrax,Anthrax,,엔트락스|앤트렉스|앤스렉스|안트랙스|엔스렉스|안쓰렉스,,,,1,3,
eschar,eschar,,에스칼|애스카,,,,1,3,
incubation_period,Incubation Period,,인큐베이션 피리어드|인큐베이션 피드,,,,1,3,
mortality,Mortality,,몰탈리티|모탈리티,,,,1,3,
protective_antigen,protective antigen,PA,프로텍티브 안티젠|프로텍티브 안티비전|프로텍티브 안티지엔,,,,1,3,
pxo1,pXO1,pXO-1,,,,,1,3,
pxo2,pXO2,pXO-2,,,,,1,3,
bioterror,bioterror,,바이오테러|바이오 테러,,,,1,2,
dormant_spore,dormant spore,,돌먼스포어|돌먼 스포어,,,,1,2,
exotoxin,exotoxin,,엑소턱센|엑소턱신|엑소톡신|턱센|턱슨,,,,1,2,
gi_tract,GI tract,,지아이 트랙|쥐아이 트랙,,,,1,2,
sepsis,Sepsis,,세피스|세프시스|섹시스|셉시스|쎕시스,,,,1,2,
toxic_effect,toxic effect,,턱색 이펙트|턱숙이 이펙트|톡식 이펙트,,,,1,2,
abdominal_pain,Abdominal Pain,,,,,,1,1,
aerosol-like_spore,Aerosol-like spore,,에어로졸라이 스포어|에어로졸 라이크 스포어,,,,1,1,
antibiotics,antibiotics,,안티바이오틱스,,,,1,1,
antitoxin_therapy,antitoxin therapy,,안티턱슨 트라피|안티탁신 테라피|앤티톡스 엔트로피|안티톡신 테라피,,,,1,1,
apoptosis,Apoptosis,,아포토시스|어포토시스,,,,1,1,
bacillus_anthracis,Bacillus anthracis,,바실러스 앤트라시스|바실러스 앤트라시스,,,,1,1,
black_necrotic_eschar,Black Necrotic Eschar,,블랙 네크로틱 에스칼|블랙 네크로틱 에스카,,,,1,1,
blood_agar,Blood Agar,,블로드 알가|블로드 아가|블러드 아가,,,,1,1,
butchery,Butchery,,,,,,0,1,
calmodulin-dependent_adenylyl_cyclase,Calmodulin-dependent adenylyl Cyclase,,칼보돌린 디펜던트 아데네르 사이클레이즈|칼고돌린 디펜던트 아데네일 사이클레이즈,,,,1,1,
capsule,capsule,,캡슐,,,,1,1,
cell_death,Cell Death,,셀데스|셀세스|셀 데스,,,,1,1,
chemotaxis,Chemotaxis,,케마텍세스|케모택시스|케모텍시스,,,,1,1,
chest_pain,Chest Pain,,체스트 페인,,,,1,1,
clinical,Clinical,,,,,,0,1,
clinical_deterioration,Clinical Deterioration,,클리니컬 데토리오레이션|클리니컬 데터리오레이션,,,,1,1,
clinical_manifestations,clinical manifestations,,,,,,0,1,
cm,cm,,,,,,0,1,
culturing,Culturing,,컬처링,,,,1,1,
decontamination,decontamination,,디컨테미네이션|디컨템에이션,,,,1,1,
developed_country,Developed Country,,,,,,0,1,
doxycycline,doxycycline,,덕세사이클레인|덕세사이클린|독시사이클린,,,,1,1,
dyspnea,dyspnea,,다이셉니아|다이셈리아|디스프니아,,,,1,1,
ef,EF,,,,,,0,1,
electron_microscopy,Electron Microscopy,,일렉트런 마이크로스코피|일렉트론 마이크로스코피,,,,1,1,
exposure_source,exposure source,,,,,,0,1,
factor,factor,,,,,,0,1,
flu,Flu,,플루,,,,1,1,
fluid_accumulation,Fluid Accumulation,,플루이드 어클로네이션|플루이드 어클루데이션|플루이드 어큐뮬레이션,,,,1,1,
form,form,,,,,,0,1,
function,function,,,,,,0,1,
gi_anthrax,GI Anthrax,,,,,,1,1,
gram,gram,,,,,,0,1,
gram_positive,gram positive,,그람 퍼지티브|그람 포지티브,,,,1,1,
hemoptysis,Hemoptysis,,해머티스|해마프테시스|히몹티시스,,,,1,1,
host_cell_receptor,host cell receptor,,호스트셀 리셉터|호스트 셀 리셉터,,,,1,1,
immune_cell,Immune Cell,,이뮨셀|이뮤니티 셀|이문 셀,,,,1,1,
immune_recognition,Immune Recognition,,이뮨리코너데이션|이면 리코넥션|이뮨 리코그니션,,,,1,1,
immunohistochemistry,Immunohistochemistry,,이뮤노 히스토케미스트리|이뮤노 히스토 케미스트리,,,,1,1,
infected_animal,Infected Animal,,,,,,0,1,
intestinal_perforation,Intestinal Perforation,,인테스테널 퍼포레이션|인테스티널 퍼포레이션,,,,1,1,
knockout,Knockout,,,,,,1,1,
koch,Koch,,코어|코흐,,,,1,1,
leatherwork,leatherwork,,,,,,0,1,
lesion,Lesion,,레션|레전,,,,1,1,
lf,LF,,,,,,0,1,
macrophage_injury,Macrophage Injury,,매크로파지 인절|매크로파지 인절여|마크로파지 인저리,,,,1,1,
meningitis,Meningitis,,메넨기|매넹기|메닌자이티스,,,,1,1,
nausea,Nausea,,너우샤|너우셔|노지아,,,,1,1,
