lecture_id,condition,cer,wer,ref_chars,out_chars,length_ratio,condition_label
acuteinflammation_02,whisper1,0.5052,0.3693,5818.0,4408.0,0.758,raw whisper-1
acuteinflammation_02,ai_lecturenote,0.3328,0.5944,5818.0,4813.0,0.827,AI_LectureNote
acuteinflammation_02,gpt4o,0.406,0.2547,5818.0,4634.0,0.796,raw gpt-4o-transcribe
acuteinflammation_02,gpt4o_prompted,0.5242,0.3603,5818.0,4279.0,0.735,prompted gpt-4o-transcribe
acuteinflammation_02,gpt4o_ailn_post,0.2234,0.3784,5818.0,5150.0,0.885,raw gpt-4o-transcribe -> AI_LectureNote post-processing
anthrax_01,whisper1,0.1294,0.1386,4746.0,4536.0,0.956,raw whisper-1
anthrax_01,ai_lecturenote,0.5381,0.6899,4746.0,3010.0,0.634,AI_LectureNote
anthrax_01,gpt4o,0.3673,0.2835,4746.0,3897.0,0.821,raw gpt-4o-transcribe
anthrax_01,gpt4o_prompted,0.3222,0.2772,4746.0,3952.0,0.833,prompted gpt-4o-transcribe
anthrax_01,gpt4o_ailn_post,0.5999,0.7839,4746.0,3043.0,0.641,raw gpt-4o-transcribe -> AI_LectureNote post-processing
anticancerdrugs_02,whisper1,0.0765,0.2308,2040.0,1963.0,0.962,raw whisper-1
anticancerdrugs_02,ai_lecturenote,0.3868,0.622,2040.0,1600.0,0.784,AI_LectureNote
anticancerdrugs_02,gpt4o,0.3074,0.3099,2040.0,1721.0,0.844,raw gpt-4o-transcribe
anticancerdrugs_02,gpt4o_prompted,0.4505,0.3604,2040.0,1558.0,0.764,prompted gpt-4o-transcribe
anticancerdrugs_02,gpt4o_ailn_post,0.5206,0.7736,2040.0,1478.0,0.725,raw gpt-4o-transcribe -> AI_LectureNote post-processing
diuretics_01,whisper1,0.5402,0.4476,5639.0,4302.0,0.763,raw whisper-1
diuretics_01,ai_lecturenote,0.294,0.4308,5639.0,5057.0,0.897,AI_LectureNote
diuretics_01,gpt4o,0.512,0.3789,5639.0,4350.0,0.771,raw gpt-4o-transcribe
diuretics_01,gpt4o_prompted,0.44,0.3386,5639.0,4584.0,0.813,prompted gpt-4o-transcribe
diuretics_01,gpt4o_ailn_post,0.3352,0.4954,5639.0,4829.0,0.856,raw gpt-4o-transcribe -> AI_LectureNote post-processing
MACRO_AVG,whisper1,0.3128,0.2966,,,0.8598,raw whisper-1
MACRO_AVG,ai_lecturenote,0.3879,0.5843,,,0.7855,AI_LectureNote
MACRO_AVG,gpt4o,0.3982,0.3067,,,0.808,raw gpt-4o-transcribe
MACRO_AVG,gpt4o_prompted,0.4342,0.3341,,,0.7862,prompted gpt-4o-transcribe
MACRO_AVG,gpt4o_ailn_post,0.4198,0.6078,,,0.7768,raw gpt-4o-transcribe -> AI_LectureNote post-processing
